CustomerID,CustomerShortName,CustomerRomajiName,CustomerKanaName,CustomerNo,ContactPerson,IDtenKH,KHcuaKH,DateEntry,CustomerNotes,CustomerOrderFolder,CustomerCADfolder
1,MNM,,,114,,MNM,MNM,,,,
2,MOK,,,115,,MOK,,,,,
3,MPN,,,116,,MPN,,,,,
4,MRY,,Chung nhieu,117,,MRY,Dung chung nhieu,,,,
5,MS,,,118,,MS,,,,,
6,MSM,,,119,,MSM,"MBS, MGP, SNP, TAI",,,,
7,MTD,,,120,,MTD,,,,,
8,MTE,,,121,,MTE,,,,,
9,MTM,,ミツミ電機,122,,MTM,,,,,
10,MTR,,,123,,MTR,,,,,
11,MYS,,,124,,MYS,,,,,
12,MZT,,水谷製作所,125,,MZT,,,,,
13,NA,,,126,,NA,,,,,
14,NAC,,,127,,NAC,,,,,
15,NEC,,NECロジスティクス,128,,NEC,,,,,
16,NFC,,,129,,NFC,,,,,
17,NGK,,,130,,NGK,,,,,
18,NGS,,,131,,NGS,NGS,,,,
19,NGT,,,132,,NGT,,,,,
20,NHC,,,133,,NHC,,,,,
21,NHK,,,134,,NHK,,,,,
22,NIT,,,135,,NIT,Khuon cu,,,,
23,NKI,,,136,,NKI,,,,,
24,NML,,,137,,NML,,,,,
25,NPC,,ナガセプラスチック,138,,NPC,,,,,
26,NRK,,,139,,NRK,,,,,
27,NSE,,,141,,NSE,,,,,
28,NSK,,,142,,NSK,,,,,
29,NSM,,,143,,NSM,,,,,
30,NTT,,,144,,NTT,,,,,
31,NWN,,,145,,NWN,,,,,
32,ODS,,Dung chung nhieu,146,,ODS,,,,,
33,OGR,,,147,,OGR,,,,,
34,OHS,,,148,,OHS,,,,,
35,OID,,,149,,OID,,,,,
36,OMG,,,150,,OMG,,,,,
37,ONER,,,151,,ONER,,,,,
38,OOT,,大手,152,,OOT,,,,,
39,OPA,,,153,,OPA,,,,,
40,ORM,,,154,,ORM,,,,,
41,OSI,,,155,,OSI,,,,,
42,OTAX,,,156,,OTAX,,,,,
43,OTD,,,157,,OTD,,,,,
44,OTJ,,,158,,OTJ,,,,,
45,PLX,,,159,,PLX,,,,,
46,PNS,,,160,,PNS,,,,,
47,POS,,,161,,POS,,,,,
48,QA,,,162,,QA,,,,,
49,RCH,,,163,,RCH,RIC,,DH nhieu,,
50,RKK,,,164,,RKK,,,,,
51,RYK,,,165,,RYK,"MNM, MBS, HPS, FKS, DIC,",,,,
52,RYOKA,,,166,,RYOKA,,,,,
53,SAI,,,167,,SAI,,,,,
54,SAIKO,,,168,,SAIKO,,,,,
55,SAM,,,169,,SAM,,,,,
56,SBK,,,170,,SBK,,,,,
57,SDK,,,171,,SDK,,,,,
58,SDSJ,,,172,,SDSJ,,,,,
59,SESK,,,173,,SESK,,,,,
60,SHP,,,174,,SHP,,,,,
61,SHT,,,175,,SHT,,,,,
62,SIT,,,176,,SIT,,,,,
63,SJI,,,177,,SJI,,,gan day,,
64,SJT,,,178,,SJT,,,,,
65,SK,,松南クラフト,179,,SK,,,,,
66,SKC,,,180,,SKC,,,,,
67,SKK,,,181,,SKK,"SKK, SNK",,,,
68,SKO,,,182,,SKO,,,,,
69,SKS,,三幸紙器,183,,SKS,SKS,,Cu nhieu,,
70,SLK,,,184,,SLK,,,,,
71,SMK,,,185,,SMK,"MIS02, TKN, TYM, UGH, YMS",,,#\\SERVER\ysd-folder\新SMK注文書#,
72,SMT,,,186,,SMT,,,,,
73,SNM,,,187,,SNM,,,,,
74,SNT,,,188,,SNT,SNT,,2009,,
75,SP2,,,190,,SP2,,,,,
76,SP30,,,191,,SP30,,,,,
77,SPJ,,株式会社　スピードジャパン,192,,SPJ,,,,,
78,SPK,,,193,,SPK,,,,,
79,SRI,,,194,,SRI,,,,,
80,SSK,,,195,,SSK,ETS,,DH nhieu,,
81,SSM,,サン精密化工研究所,196,,SSM,,,,,
82,STD,,,197,,STD,,,,,
83,STF,,,198,,STF,,,,,
84,STN,,,200,,STN,,,,,
85,SWJ,,,201,,SWJ,,,,,
86,SWS,,,202,,SWS,,,,,
87,SYS,,,203,,SYS,,,,,
88,SZT,,,204,,SZT,SZT,,,,
89,T,,ナガセプラスチック,205,,T,,,,,
90,TBG,,,206,,TBG,,,,,
91,TCS,,,207,,TCS,,,,,
92,TDS,,,208,,TDS,,,"Khuon moi, dung nhieu",,
93,TE,,タイコエレクトロニクスジャパン合同会社,209,,TE,,,,#\\SERVER\ysd-folder\新AMP注文書#,
94,THP,,,210,,THP,,,,,
95,TIH,,,211,,TIH,,,DH nhieu,,
96,TKD,,,212,,TKD,,,,,
97,TKN,,,213,,TKN,,,,,
98,TKO,,,214,,TKO,,,,,
99,TKS,,,215,,TKS,,,,,
100,TMC,,,216,,TMC,,,,,
101,TMD,,,217,,TMD,,,,,
102,TNX,,タナックス　TANAX,218,,TNX,,,,,
103,TOK,,,219,,TOK,TLK,,Khuon moi,,
104,TOW,,,220,,TOW,,,,,
105,TP,,,221,,TP,,,,,
106,TRT,,,222,,TRT,,,,,
107,TSB,,,223,,TSB,,,,,
108,YSD,,YSD,1,,YSD,,,,#\\SERVER\ysd-folder\新一般注文書\Y YSD#,
109,AAT,,,2,,AAT,,,,,
110,ADV,ADVANEX,,3,,ADV,,,,,
111,ADY,,エーディーワイ 株式会社,4,,ADY,SPJ,,,,
112,AFMC,,,6,,AFMC,,,,,
113,AGR,,,7,,AGR,,,,,
114,AKT,,,8,,AKT,,,,,
115,ALF,,,9,,ALF,,,,,
116,ALP,,,10,,ALP,,,,,
117,AMP,,,11,,AMP,,,,#\\SERVER\ysd-folder\新AMP注文書#,
118,AON,,,12,,AON,,,,,
119,APF,,,13,,APF,,,,,
120,ARD,,,14,,ARD,,,,,
121,ARK,,,15,,ARK,,,,,
122,ASC,,,16,,ASC,,,,,
123,ASH,,,17,,ASH,,,,,
124,ASS,,,18,,ASS,,,,,
125,ATS,,,19,,ATS,,,,,
126,AZUMA,,,20,,AZUMA,,,,,
127,BNS,,,21,,BNS,,,,,
128,C,,,22,,C,,,,,
129,CBS,,,23,,CBS,,,,,
130,CEJ,,,24,,CEJ,,,,,
131,CSFHI,,,25,,CSFHI,,,,,
132,CGI,,,26,,CGI,,,,,
133,CGR,,,27,,CGR,,,,,
134,CIPS,,,28,,CIPS,,,,,
135,CK,,中央工機,29,,CK,,,,,
136,COT,,,30,,COT,,,,,
137,CPL,,,31,,CPL,,,,,
138,CST,,シーエステック株式会社,32,,CST,,,,,
139,DDB,,,33,,DDB,,,,,
140,DHA,,,34,,DHA,,,,,
141,DIC,,Hay dung ワイエイシイガーター,35,,DIC,,,,,
142,DIM,,Van DH,36,,DIM,,,,,
143,DIN,,,37,,DIN,,,,,
144,DK,,,38,,DK,,,,,
145,DNS,,,39,,DNS,,,,,
146,E,,,40,,E,,,,,
147,EDK,,,41,,EDK,,,,,
148,EK,,,42,,EK,,,,,
