CutterID,CutterName,CutterCode,MainBladeStatus,OtherStatus,Length,Width,NumberOfBlades,NumberOfOtherUnits,TypeOfOther,LastReceivedDate,LastShipDate,currentRackLayer,MoldFrameID,notes,ProductCode,cutterstyle,CurrentCompanyID,CutterDesignID,StockStatusID,CurrentUserID
175,YCM-038B,,,,,,,,,,,,,,,,,,,
176,NPR-002,,,,,,,,,,,,,,,,,,,
177,SSK-005,,,,,,,,,,,,,,,,,,,
179,JAE-090,,,,,,,,,,,,,,,,,,,
180,MYS-003,,,,,,,,,,,,,,,,,,,
181,KSC-003,,,,,,,,,,,,,,,,,,,
185,OIK-001,,,,,,,,,,,,,,,,,,,
186,OMR-001,,,,,,,,,,,,,,,,,,,
187,YZW-001,,,,,,,,,,,,,,,,,,,
188,QAS-003,,,,,,,,,,,,,,,,,,,
189,TKS-021,,,,,,,,,,,,,,,,,,,
190,YOK-003,,,,,,,,,,,,,,,,,,,
191,SJK-010,,,,,,,,,,,,,,,,,,,
192,KBT-001,,,,,,,,,,,,,,,,,,,
193,JAE-051,,,,,,,,,,,,,,,,,,,
194,TNX-013,,,,,,,,,,,,,,,,,,,
195,DIC-036,,,,,,,,,,,,,,,,,,,
196,YES003,,,,,,,,,,,,,,,,,,,
197,SMK-185,,,,,,,,,,,,,,,,,,,
198,YSM-042,,,,,,,,,,,,,,,,,,,
199,KSP-179,,,,,,,,,,,,,,,,,,,
200,OOT-020,,,,,,,,,,,,,,,,,,,
201,OOT-025,,,,,,,,,,,,,,,,,,,
202,KIK-005T,,,,,,,,,,,,,,,,,,,
203,KIK-005B,,,,,,,,,,,,,,,,,,,
204,JAE-132,,,,,,,,,,,,,,,,,,,
205,JAE-193,,,,,,,,,,,,,,,,,,,
206,DDB-004,,,,,,,,,,,,,,,,,,,
207,DDB-001,,,,,,,,,,,,,,,,,,,
208,YCM-059,,,,,,,,,,,,,,,,,,,
209,YCM-066,,,,,,,,,,,,,,,,,,,
210,SSK-002,,,,,,,,,,,,,,,,,,,
211,KSP-196,,,,,,,,,,,,,,,,,,,
212,KSP-152,,,,,,,,,,,,,,,,,,,
213,KSP-105,,,,,,,,,,,,,,,,,,,
214,KDS-105,,,,,,,,,,,,,,,,,,,
215,RCH-003,,,,,,,,,,,,,,,,,,,
216,YMS-004,,,,,,,,,,,,,,,,,,,
217,HKS-006,,,,,,,,,,,,,,,,,,,
218,LPS-022,,,,,,,,,,,,,,,,,,,
219,RCH-006,,,,,,,,,,,,,,,,,,,
220,MZT-007,,,,,,,,,,,,,,,,,,,
221,SMK,,,,,,,,,,,,,,,,,,,
222,MDS-004,,,,,,,,,,,,,,,,,,,
223,TE-8-156-5,,,,,,,,,,,,,,,,,,,
224,ELS-001,,,,,,,,,,,,,,,,,,,
225,MTM-060,,,,,,,,,,,,,,,,,,,
226,YSM-019,,,,,,,,,,,,,,,,,,,
227,TIH-008,,,,,,,,,,,,,,,,,,,
228,SK-048R,,,,,,,,,,,,,,,,,,,
229,ADV-032,,,,,,,,,,,,,,,,,,,
230,AMP-027,,,,,,,,,,,,,,,,,,,
231,TMC-85Y?,,,,,,,,,,,,,,,,,,,
232,SDSJ-001,,,,,,,,,,,,,,,,,,,
234,KSE-（湾）,,,,,,,,,,,,,,,,,,,
235,YSR-015,,,,,,,,,,,,,,,,,,,
236,MTM-045,,,,,,,,,,,,,,,,,,,
237,KSE-016R,,,,,,,,,,,,,,,,,,,
238,TIH-003,,,,,,,,,,,,,,,,,,,
239,NKI-004,,,,,,,,,,,,,,,,,,,
240,GMY-086,,,,,,,,,,,,,,,,,,,
241,TYU-001,,,,,,,,,,,,,,,,,,,
242,MZT-056,,,,,,,,,,,,,,,,,,,
243,Other,,,,,,,,,,,,,,,,,,,
245,ADY-063,,,,,,,,,,,,,,,,,,,
246,KSP-076,,,,,,,,,,,,,,,,,,,
247,KSP-076,,,,,,,,,,,,,,,,,,,
248,KSP-076,,,,,,,,,,,,,,,,,,,
249,MTM-035,,,,,,,,,,,,,,,,,,,
250,LPS-004,,,,,,,,,,,,,,,,,,,
251,STF-003,,,,,,,,,,,,,,,,,,,
252,SK-048,,,,,,,,,,,,,,,,,,,
253,PNS-002,,,,,,,,,,,,,,,,,,,
254,STF-001,,,,,,,,,,,,,,,,,,,
255,STF-001,,,,,,,,,,,,,,,,,,,
256,JAE-002,,,,,,,,,,,,,,,,,,,
257,MZT-068,,,,,,,,,,,,,,,,,,,
258,ADY-053,,,,,,,,,,,,,,,,,,,
259,TWD-001,,,,,,,,,,,,,,,,,,,
262,AXN-001,,,,,,,,,,,,,,,,,,,
263,TIH-009B,,,,,,,,,,,,,,,,,,,
264,SAI-001,,,,,,,,,,,,,,,,,,,
265,MTD-002,,,,,,,,,,,,,,,,,,,
266,YOK-001,,,,,,,,,,,,,,,,,,,
267,TBG-003,,,,,,,,,,,,,,,,,,,
268,SPK-001,,,,,,,,,,,,,,,,,,,
269,YCM-028,,,,,,,,,,,,,,,,,,,
270,TE-2-053-3T,,,,,,,,,,,,,,,,,,,
271,TE-2-053-3B,,,,,,,,,,,,,,,,,,,
272,MTR-001,,,,,,,,,,,,,,,,,,,
273,MTR-002,,,,,,,,,,,,,,,,,,,
274,MTR-003,,,,,,,,,,,,,,,,,,,
275,MTR-004,,,,,,,,,,,,,,,,,,,
276,YCM-027,,,,,,,,,,,,,,,,,,,
278,IZW-001,,,,,,,,,,,,,,,,,,,
279,IZW-002,,,,,,,,,,,,,,,,,,,
280,TJS-002,,,,,,,,,,,,,,,,,,,
281,SJI-014,,,,,,,,,,,,,,,,,,,
282,FDE-003,,,,,,,,,,,,,,,,,,,
283,ADY-051,,,,,,,,,,,,,,,,,,,
284,MZT-009,,,,,,,,,,,,,,,,,,,
285,KSP-045,,,,,,,,,,,,,,,,,,,
