JobID,JobName,JobCode,MoldDesignID,InstructionID,ProcessingItemID,ResponsiblePersonID,MachiningCustomerID,OutsourcingID,MoldID,JobType,JobStartDate,JobEndDate,JobQuantity,JobStatus,JobDescription,JobNote,IDMaKhuonThietKe,IDVatLieuNhua,YearPeriod,MonthPeriod,Approved,DeliveryDeadline,ReleasePeriod,BeginDate,DateEntry,PostProductionFeedback,AnhKhuonJob,NgayChupAnhKhuonJob,KhoiLuongKhuonJob,NoiGCkhuon,FormingLocation,MoldShippingDate,TeflonWaiting,InventoryCheckUponReProduction,DrawingChecUponReProduction,ToleranceX,ToleranceY,SeparateCutter,QuantitySentToTheOffice,NoiNhan,PriceQuote,UnitPrice,LoaiThungDong,BaoNilon,PocketTEST,ProductionCommunication,PlugAri,TrayWeight,IsSelected,JobFolderLink,Vt1,Split1,Split1Right,Vt2,Split2,Split2Right,Vt3,Split3,Split3Right,JobCodeAuto
1,TE-0-912057-3,TE09120573,2399,,18,7,2,,4464,,8/7/2023,,1,,,,TE-0-057-3,,2023,,TRUE,8/8/2023,4.修理,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,0-912057-3,2,0,912057-3,7,912057,3,TE09120573
2,TE-1-078-9,TE10789,2477,,10,1,2,,4528,,,,,,,,TE-1-078-9,,2023,,TRUE,,,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,1-078-9,2,1,078-9,4,078,9,TE10789
3,TE-1-127-0,TE11270,2485,,7,9,2,,2975,,2/16/2024,,1,,,,TE-1-127-0,,2024,0,TRUE,2/19/2024,2.新規,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,1-127-0,2,1,127-0,4,127,0,TE11270
4,TE-1-127-7,TE11277,2491,,6,4,2,,2411,,12/22/2022,,1,,,,TE-1-127-7,,,,TRUE,12/22/2022,修理,,,ネル貼り「再」,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,1-127-7,2,1,127-7,4,127,7,TE11277
5,TE-1-141-3,TE11413,2503,,1,7000,2,,3131,,3/25/2024,,1,,,,TE-1-141-3,,2024,3,TRUE,3/28/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,1-141-3,2,1,141-3,4,141,3,TE11413
6,TE-1-160-4 A type,TE11604Atype,2512,,1,7000,1,,3049,,6/19/2024,,1,,1-160-4金型の外周削りの不具合発生したため再作成,,TE-1-160-4 (A type),,2024,6,TRUE,6/25/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,1-160-4 A type,2,1,160-4 A type,4,160,4 A type,TE11604 A type
7,Te-1-160-4 (Kaizen),Te11604(Kaizen),2513,,1,7000,1,,4538,,5/25/2024,,1,,,,TE-1-160-4 (Kaizen),,2024,6,TRUE,5/27/2024,4.修理,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,Te,1-160-4 (Kaizen),2,1,160-4 (Kaizen),4,160,4 (Kaizen),Te11604 (Kaizen)
8,TE-1-163-1D,TE11631D,2519,,2,1,2,,4526,,,,1,,,,TE-1-163-1D,,2024,8,TRUE,8/20/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,1-163-1D,2,1,163-1D,4,163,1D,TE11631D
9,TE-1-163-2D,TE11632D,2520,,2,1,2,,4525,,,,1,,,,TE-1-163-2D,,2024,8,TRUE,8/20/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,1-163-2D,2,1,163-2D,4,163,2D,TE11632D
10,TE-1-163-2D R1,TE11632DR1,2521,,1,1,2,,4523,,8/26/2024,,1,,,,TE-1-163-2D R1,,2024,8,TRUE,8/28/2024,,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,1-163-2D R1,2,1,163-2D R1,4,163,2D R1,TE11632D R1
