LocationLogID,OldRackLayer,NewRackLayer,MoldID,DateEntry,CutterID,notes
LOC1761873603663,12,11,10,2025-10-31T01:20:03.623Z,,
LOC1761872116127,12,11,10,2025-10-31T00:55:16.083Z,,11 955
LOC1761781032075,12,12,10,2025-10-29T23:37:12.160Z,,"Trở về vị trí đúng, sau test 837"
,,601,4775,2024/12/02 14:33:24,,
,,601,4776,2024/12/02 14:36:41,,
,,601,4025,2024/12/02 14:37:33,,
,,601,4777,2024/12/02 14:38:46,,
,,601,4778,2024/12/02 14:42:03,,
,,601,4783,2024/12/02 15:25:05,,
,,601,4784,2024/12/02 15:25:26,,
,,601,4785,2024/12/02 15:25:40,,
,,601,3937,2024/12/02 15:25:57,,
,,601,3936,2024/12/02 15:26:45,,
,,601,4786,2024/12/02 15:27:24,,
,,601,4787,2024/12/02 15:27:53,,
,,601,4788,2024/12/02 15:28:16,,
,,601,4789,2024/12/02 15:28:31,,
,,602,4790,2024/12/02 15:29:27,,
,,602,4791,2024/12/02 15:37:24,,
,,602,4792,2024/12/02 15:39:26,,
,,602,4793,2024/12/02 15:40:47,,
,,602,4794,2024/12/02 15:41:27,,
,,602,4795,2024/12/02 15:41:45,,
,,602,4796,2024/12/02 15:42:48,,
,,602,4797,2024/12/02 15:52:11,,
,,602,4798,2024/12/02 15:54:08,,
,,602,4799,2024/12/02 15:54:25,,
,,602,4800,2024/12/02 15:54:42,,
,,602,4801,2024/12/02 15:55:14,,
,,602,3254,2024/12/02 15:59:39,,
,,602,4802,2024/12/02 16:00:01,,
,,602,4603,2024/12/02 16:00:11,,
,,602,4325,2024/12/02 16:00:18,,
,,602,4803,2024/12/02 16:07:26,,
,,602,4804,2024/12/02 16:10:36,,
,,602,4805,2024/12/02 16:18:29,,
,,602,4806,2024/12/02 16:19:27,,
,802,602,4751,2024/12/02 16:19:58,,
,,602,4807,2024/12/02 16:20:14,,
,,602,4808,2024/12/02 16:20:40,,
,,602,3768,2024/12/02 16:20:46,,
,802,603,3246,2024/12/02 16:21:08,,
,,603,4809,2024/12/02 16:24:44,,
,,603,4810,2024/12/02 16:25:02,,
,,603,4811,2024/12/02 16:25:22,,
,,603,4812,2024/12/02 16:26:03,,
,,603,4813,2024/12/02 16:26:39,,
,,603,4814,2024/12/02 16:27:11,,
,,603,4815,2024/12/02 16:27:37,,
,,603,3999,2024/12/02 16:27:43,,
,602,603,4714,2024/12/02 16:29:30,,
,707,603,2930,2024/12/02 16:29:42,,
,802,603,4268,2024/12/02 16:29:48,,
,,603,3541,2024/12/02 16:29:54,,
,,603,4816,2024/12/02 16:30:25,,
,,603,4817,2024/12/02 16:31:03,,
,,603,3089,2024/12/02 16:31:49,,
,,603,4818,2024/12/02 16:33:15,,
,,603,4819,2024/12/02 16:33:34,,
,,603,4820,2024/12/02 16:33:55,,
,,603,4821,2024/12/02 16:34:55,,
,,603,4822,2024/12/02 16:35:15,,
,802,603,4272,2024/12/02 16:35:22,,
,602,603,3311,2024/12/02 16:35:29,,
,707,603,1769,2024/12/02 16:35:37,,
,,603,4824,2024/12/02 16:39:50,,
,,603,4825,2024/12/02 16:43:34,,
,,603,4826,2024/12/02 16:44:05,,
,802,603,4265,2024/12/02 16:44:53,,
,,604,3961,2024/12/02 16:47:26,,
,,604,3502,2024/12/02 16:47:37,,
,,604,4827,2024/12/02 16:47:56,,
,,604,4828,2024/12/02 16:48:09,,
,,604,4829,2024/12/02 16:48:32,,
,,604,4355,2024/12/02 16:48:38,,
,802,604,4259,2024/12/02 16:48:44,,
,,604,3248,2024/12/02 16:48:50,,
,,604,3540,2024/12/02 16:48:54,,
,,604,4830,2024/12/02 16:49:09,,
,,604,3307,2024/12/02 16:49:45,,
,,604,4831,2024/12/02 16:50:11,,
,,604,3266,2024/12/02 16:50:17,,
,,604,4832,2024/12/02 16:50:31,,
,,604,4833,2024/12/02 16:50:45,,
,,604,4834,2024/12/02 16:51:01,,
,,604,4389,2024/12/02 16:51:08,,
,,604,4359,2024/12/02 16:51:17,,
,,604,4835,2024/12/02 16:51:30,,
,,604,4836,2024/12/02 16:51:54,,
,,604,4837,2024/12/02 16:52:15,,
,,604,3501,2024/12/02 16:52:25,,
,708,604,2937,2024/12/02 16:53:08,,
,700,604,4637,2024/12/02 16:53:25,,
,,604,4838,2024/12/02 16:53:39,,
,,604,4839,2024/12/02 16:53:51,,
,,604,4840,2024/12/02 16:54:12,,
,,604,4841,2024/12/02 16:54:34,,
,,604,4842,2024/12/02 16:55:00,,
,,604,4843,2024/12/02 16:55:12,,
,,604,4844,2024/12/02 16:55:24,,
,,604,4845,2024/12/02 16:55:36,,
,,604,4846,2024/12/02 16:55:46,,
,,604,4619,2024/12/02 16:55:50,,
,,604,4621,2024/12/02 16:55:56,,
,,604,4333,2024/12/02 16:56:01,,
,,604,4847,2024/12/02 16:56:13,,
,,604,4848,2024/12/02 16:56:27,,
,,604,4849,2024/12/02 16:56:39,,
,,604,3820,2024/12/02 16:56:44,,
,,604,4850,2024/12/02 16:57:11,,
,,604,4852,2024/12/02 17:00:49,,
,,604,4853,2024/12/02 17:01:01,,
,,612,4854,2024/12/03 8:56:20,,
,,612,4855,2024/12/03 8:56:35,,
,,612,4011,2024/12/03 8:59:21,,
,294,612,1272,2024/12/03 9:51:48,,
,,612,4856,2024/12/03 10:13:51,,
,,612,4874,2024/12/03 11:38:53,,
,,612,4877,2024/12/03 11:43:53,,
,,612,4878,2024/12/03 12:08:22,,
,,612,4879,2024/12/03 13:56:35,,
,,612,4880,2024/12/03 13:56:45,,
,802,612,4744,2024/12/03 13:56:52,,
,,612,4881,2024/12/03 13:56:58,,
,,612,4882,2024/12/03 13:57:06,,
,,612,4883,2024/12/03 13:57:15,,
,,612,4884,2024/12/03 13:57:21,,
,,612,4885,2024/12/03 13:57:27,,
,,612,4886,2024/12/03 13:57:32,,
,,612,4887,2024/12/03 13:57:42,,
,,612,4888,2024/12/03 13:59:27,,
,,612,4889,2024/12/03 13:59:32,,
,,612,4890,2024/12/03 13:59:36,,
,,612,4891,2024/12/03 13:59:41,,
,,612,4892,2024/12/03 14:00:50,,
,,613,3326,2024/12/03 14:01:12,,
,709,613,3053,2024/12/03 14:01:23,,
,,613,4115,2024/12/03 14:10:38,,
,,613,4894,2024/12/03 14:14:09,,
,,613,4334,2024/12/03 14:14:19,,
,,613,4895,2024/12/03 14:14:53,,
,,613,4165,2024/12/03 14:15:05,,
,,613,4896,2024/12/03 14:16:06,,
,,613,4897,2024/12/03 14:17:00,,
,,613,4347,2024/12/03 14:31:43,,
,,613,4365,2024/12/03 14:34:26,,
,,613,4363,2024/12/03 14:35:14,,
,,613,4899,2024/12/03 14:40:01,,
,54,613,2945,2024/12/03 14:40:27,,
,,613,4335,2024/12/03 14:40:34,,
,,613,4900,2024/12/03 14:40:50,,
,,613,4901,2024/12/03 14:41:37,,
,,613,4902,2024/12/03 14:42:11,,
,,613,4903,2024/12/03 15:13:15,,
,,613,4904,2024/12/03 15:13:28,,
,,613,4905,2024/12/03 15:14:36,,
,,613,4906,2024/12/03 15:15:22,,
,707,613,1125,2024/12/03 15:15:35,,
,,613,4907,2024/12/03 15:15:49,,
,,613,4908,2024/12/03 15:16:02,,
,,613,4909,2024/12/03 15:16:17,,
,,613,4116,2024/12/03 15:17:52,,
,,613,4910,2024/12/03 15:17:57,,
,,613,4911,2024/12/03 15:18:29,,
,,613,4912,2024/12/03 15:18:41,,
,,613,4914,2024/12/03 15:20:25,,
,,614,4915,2024/12/03 15:20:49,,
,,614,4916,2024/12/03 15:21:05,,
,,614,4601,2024/12/03 15:21:13,,
,,614,4917,2024/12/03 15:31:40,,
,,614,4155,2024/12/03 15:31:47,,
,,614,4918,2024/12/03 15:32:34,,
,,614,4919,2024/12/03 15:32:56,,
,,614,4920,2024/12/03 15:33:18,,
,,614,4921,2024/12/03 15:33:41,,
,,614,4922,2024/12/03 15:34:02,,
,,614,4156,2024/12/03 15:34:14,,
,,614,4923,2024/12/03 15:34:27,,
,172,614,2014,2024/12/03 15:34:47,,
,,614,4924,2024/12/03 15:35:09,,
,,614,4925,2024/12/03 15:35:21,,
,,614,4926,2024/12/03 15:35:37,,
,,614,4927,2024/12/03 16:32:41,,
,,614,4928,2024/12/03 16:32:59,,
,707,614,3068,2024/12/03 16:33:08,,
,,614,4929,2024/12/03 16:33:30,,
,,614,4930,2024/12/03 16:33:40,,
,,614,4931,2024/12/03 16:33:55,,
,802,614,4757,2024/12/03 16:34:01,,
,,614,4932,2024/12/03 16:34:13,,
,707,614,3069,2024/12/03 16:34:20,,
,707,614,3500,2024/12/03 16:34:26,,
,,613,4933,2024/12/03 16:34:57,,
,,613,4934,2024/12/03 16:36:05,,
,,613,4935,2024/12/03 16:36:45,,
,,621,4936,2024/12/03 16:37:15,,
,,621,4937,2024/12/03 16:37:43,,
,,621,4948,2024/12/04 11:18:50,,
,,621,4949,2024/12/04 11:24:56,,
,,621,4950,2024/12/04 11:27:19,,
,,621,4951,2024/12/04 11:27:50,,
,,621,4953,2024/12/04 11:37:25,,
,,621,4954,2024/12/04 12:15:35,,
,,621,4955,2024/12/04 12:20:34,,
,,621,4956,2024/12/04 12:20:54,,
,,622,4957,2024/12/04 12:21:48,,
,,622,4958,2024/12/04 12:40:04,,
,,622,4959,2024/12/04 12:40:18,,
,,622,4960,2024/12/04 12:40:33,,
,,622,4030,2024/12/04 12:40:49,,
,,622,4961,2024/12/04 12:40:57,,
,,622,4962,2024/12/04 13:28:42,,
,,622,4963,2024/12/04 13:29:30,,
,,623,4028,2024/12/04 13:35:15,,
,,623,4964,2024/12/04 13:35:25,,
,,623,4034,2024/12/04 13:35:39,,
,,623,4965,2024/12/04 13:35:58,,
,,623,4966,2024/12/04 13:36:51,,
,,623,4967,2024/12/04 13:36:59,,
,,623,4968,2024/12/04 13:37:06,,
,,623,4969,2024/12/04 14:00:47,,
,,623,4970,2024/12/04 14:07:01,,
,,623,4971,2024/12/04 14:14:25,,
,,623,4972,2024/12/04 14:32:39,,
,,623,4973,2024/12/04 14:47:11,,
,,623,4974,2024/12/04 14:57:48,,
,,623,4977,2024/12/04 15:15:14,,
,802,623,4754,2024/12/04 15:19:48,,
,,623,4978,2024/12/04 15:24:19,,
,,624,4980,2024/12/04 15:51:55,,
,,624,4981,2024/12/04 17:04:23,,
,,624,4982,2024/12/04 17:04:33,,
,,624,4983,2024/12/04 17:04:41,,
,,624,4984,2024/12/04 17:04:50,,
,,624,4985,2024/12/04 17:05:00,,
,,624,4986,2024/12/04 17:05:11,,
,132,624,2224,2024/12/04 17:05:20,,
,,624,4987,2024/12/04 17:06:49,,
,,624,4988,2024/12/04 17:08:40,,
,,624,4989,2024/12/04 17:25:11,,
,,624,4990,2024/12/04 17:25:23,,
,,624,4991,2024/12/04 17:25:31,,
,184,624,2176,2024/12/04 17:26:08,,
,,624,4996,2024/12/05 14:55:06,,
,802,624,4747,2024/12/05 14:57:43,,
,802,624,4749,2024/12/05 14:59:40,,
,,624,3682,2024/12/05 15:02:04,,
,,624,4997,2024/12/05 15:02:22,,
,,624,4998,2024/12/05 15:04:04,,
,,624,4999,2024/12/05 15:04:21,,
,,625,5000,2024/12/05 15:04:56,,
,,625,5001,2024/12/05 15:11:17,,
,,625,5002,2024/12/05 15:18:02,,
,,624,5003,2024/12/05 15:35:33,,
,,624,5004,2024/12/05 15:35:56,,
