MoldCutterID,CutterID,MoldDesignID,MoldID,DateEntry,MoldCutterNotes
255,175,3232,2875,05-Aug-24,YCM-038B
270,176,1683,2050,05-Aug-24,
234,177,2212,1920,05-Aug-24,
320,179,660,284,05-Aug-24,
268,180,1470,1959,05-Aug-24,字有
269,180,1471,3343,05-Aug-24,
325,181,1071,1026,05-Aug-24,
264,185,1788,2129,05-Aug-24,
252,186,1795,3326,05-Aug-24,
246,187,3490,2115,05-Aug-24,
250,188,1914,2513,05-Aug-24,
238,189,3096,2166,05-Aug-24,
366,190,1325,1287,08-Aug-24,ノート
274,190,3319,1964,05-Aug-24,
287,191,2026,2506,05-Aug-24,
228,192,873,3076,05-Aug-24,
344,193,643,3418,05-Aug-24,
345,193,647,3419,05-Aug-24,
249,194,3119,1746,05-Aug-24,
248,195,298,1824,05-Aug-24,
272,196,3274,120,05-Aug-24,
259,197,2128,3333,05-Aug-24,
286,198,3464,1266,05-Aug-24,
305,199,1249,2777,05-Aug-24,
251,200,1811,3325,05-Aug-24,
267,201,1816,1952,05-Aug-24,
291,202,978,2163,05-Aug-24,
292,203,977,2162,05-Aug-24,
265,204,681,1948,05-Aug-24,
290,205,677,413,05-Aug-24,
289,205,725,403,05-Aug-24,
304,206,270,461,05-Aug-24,
303,206,271,611,05-Aug-24,
301,207,268,610,05-Aug-24,
302,207,269,612,05-Aug-24,
306,208,3251,97,05-Aug-24,
318,209,3256,94,05-Aug-24,
229,210,2209,1875,05-Aug-24,
230,210,2210,1925,05-Aug-24,
315,211,1264,2756,05-Aug-24,
316,211,1265,2775,05-Aug-24,
312,211,1266,2736,05-Aug-24,
313,211,1267,2735,05-Aug-24,
283,212,1224,2751,05-Aug-24,
284,212,1225,2764,05-Aug-24,
285,212,1228,2773,05-Aug-24,
197,213,1186,3271,05-Aug-24,
728,213,1198,3785,16-Aug-24,
729,213,1210,3786,16-Aug-24,
730,213,1211,2787,16-Aug-24,
1399,213,1214,2806,11-Sep-24,
198,213,1233,2779,05-Aug-24,
199,213,1237,2771,05-Aug-24,
1546,213,1261,,09-Oct-24,
1547,213,1262,,09-Oct-24,
200,213,1273,2762,05-Aug-24,
293,214,924,2681,05-Aug-24,
294,214,933,2679,05-Aug-24,
273,215,1920,2225,05-Aug-24,
253,216,3304,3327,05-Aug-24,
254,216,3305,3328,05-Aug-24,
235,217,560,958,05-Aug-24,
275,218,1325,1287,05-Aug-24,
323,219,1923,144,05-Aug-24,
899,219,1924,147,16-Aug-24,
347,220,1476,770,05-Aug-24,
348,220,1477,794,05-Aug-24,
