MoldID,MoldName,MoldCode,DefaultPlasticType,TrayID,MoldDesignID,MoldInstructionID,CustomerID,MoldNumber,storage_company,RackLayerID,ItemTypeID,InlineCutterUsing,BetunukiUsing,MoldLength,MoldWidth,MoldHeight,MoldWeight,MoldCategory,MoldDescription,MoldType,MoldDate,MoldNotes,MoldUsageStatus,MoldProcessStatus,MoldEntry,MoldOnCheckList,LastOrderDate,LastShipmentDate,LastFormingDate,JobID,MoldCodeCheck,AssetCode,TenCtyChuQuan,TeflonFinish,TeflonCoating,TeflonSentDate,TeflonReceivedDate,MoldReturning,MoldReturnedDate,MoldDisposing,MoldDisposedDate,MoldPicture,MoldProcessDataLink,MoldCADfolderLink
4672,SIT-020,SIT020,,4496,3643,0,62,020,2,700,MOLD,,,,,,2.75,,,,,,,テフロン加工済,25-Oct-24,TRUE,,08-Nov-24,,,,,,TRUE,テフロン加工済,08-Nov-24,13-Nov-24,,,,,0,\\SERVER\ysd-cad\金型データー,\\SERVER\ysd-cad\AUTOCAD
4498,WTN-006 R2,WTN006R2,,2694,3204,,,,,,MOLD,,,,,,,,,,,,,テフロン加工済,,TRUE,,,,,WTN006R2,,,TRUE,テフロン加工済,27-Jun-23,30-Jun-23,,,,,0,,
5337,SRI-007 R1,SRI007R1,,4933,4371,0,79,007,2,25,,,,,,,,,,,,,,テフロン加工済,06-Mar-25,FALSE,,,,,,,,TRUE,テフロン加工済,13-Mar-25,18-Mar-25,,,,,0,\\SERVER\ysd-cad\金型データー,\\SERVER\ysd-cad\AUTOCAD
4420,FHJ-001 R4,FHJ001R4,,503,516,,,,,,MOLD,,,,,,,,,,,,,テフロン加工済,,TRUE,,,,,FHJ001R4,,,TRUE,テフロン加工済,18-Oct-23,23-Oct-23,,,,,0,,
396,JAE-290,JAE290,,779,815,,177,290,2,113,MOLD,,,,,,,,,,,,,テフロン加工済,,TRUE,,,,255,JAE290,,,TRUE,テフロン加工済,21-Jul-23,26-Jul-23,,,,,0,,
2593,YSD-F-200-1,YSDF2001,,2824,3371,,108,F-200-1,2,244,MOLD,,,,,,,,,,,,,テフロン加工済,,TRUE,,07-Jan-25,,,YSDF2001,,,TRUE,テフロン加工済,07-Jan-25,10-Jan-25,,,,,0,,
4552,YMS-001 4P,YMS0014P,,2764,3298,,,,,,MOLD,,,,,,,,,,,,,テフロン加工済,,TRUE,,,,,YMS0014P,,,TRUE,テフロン加工済,19-Dec-23,22-Dec-23,,,,,0,,
4553,YMS-001 R2,YMS001R2,,2764,3299,,,,,,MOLD,,,,,,,,,,,,,テフロン加工済,,TRUE,,,,,YMS001R2,,,TRUE,テフロン加工済,30-Nov-23,05-Dec-23,,,,,0,,
400,JAE-301,JAE301,,790,829,,177,301,2,113,MOLD,,,,,,,,,,,青森・YSD,,テフロン加工済,,TRUE,,,,267,JAE301,,,TRUE,テフロン加工済,12-Oct-23,17-Oct-23,,,,,0,,
2685,KDS-123,KDS123,PSN,884,940,,248,123,2,261,MOLD,,,,,,,,,,,坂田精文堂・図面確認依頼,,テフロン加工済,,TRUE,,,,,KDS123,,,TRUE,テフロン加工済,24-Apr-23,,,,,,0,,
