plastic_id,plastic_code,plastic_family,plastic_subtype,thickness_mm,width_mm,standard_length_m,color_code_raw,color_name_normalized,electrical_property,silicone_status_normalized,additive_flags,additive_text_raw,appearance_text_raw,an_code_raw,an_meaning_normalized,si_code_raw,ab_code_raw,status_review,remarks_raw,is_active,created_by,created_at,updated_at
617c6536-6764-5f90-aebe-700aa09e6645,PVC-CLR-06-520-01,PVC,Film,0.6,520,100,CLR,Transparent,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
ee4eaa9e-ab8c-5993-8dbd-468abb30f185,PVC-CLR-08-520-01,PVC,Film,0.8,520,100,CLR,Transparent,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
710ba9cd-426a-5ab3-9506-6da6cbca5f79,PVC-CLR-10-520-01,PVC,Film,1.0,520,100,CLR,Transparent,帯電防止,,EL,帯電防止,帯電防止,,,0,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
0dfed251-389f-521a-a99c-34dd3deee3bb,PVC-CLR-06-640-01,PVC,Film,0.6,640,100,CLR,Transparent,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
54e48be5-0fbd-58f1-9303-f55edfcbbb39,PVC-CLR-08-640-01,PVC,Film,0.8,640,100,CLR,Transparent,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
b8b376c3-7f48-449c-80f2-d336955823af,PVC-CLR-10-640-01,PVC,Film,1.0,640,200,CLR,Transparent,,,,,,,,,0,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
5a2b3c4d-1e2f-3a4b-5c6d-7e8f9a0b1c2d,PVC-WHT-06-520-01,PVC,Film,0.6,520,100,WHT,White,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
4e5f6a7b-8c9d-4e5f-6a7b-8c9d0e1f2a3b,PVC-WHT-08-520-01,PVC,Film,0.8,520,100,WHT,White,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
3c4d5e6f-7a8b-4c5d-6e7f-8a9b0c1d2e3f,PVC-WHT-10-520-01,PVC,Film,1.0,520,100,WHT,White,,,,,,,,0,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
2a3b4c5d-6e7f-4a3b-5c6d-7e8f9a0b1c2d,PVC-WHT-06-640-01,PVC,Film,0.6,640,100,WHT,White,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
1b2c3d4e-5f6a-4b2c-3d4e-5f6a7b8c9d0e,PVC-WHT-08-640-01,PVC,Film,0.8,640,100,WHT,White,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
018f2083-f314-4d16-b66e-5ee8b81e638b,PVC-WHT-10-640-01,PVC,Film,1.0,640,200,WHT,White,,,,,,,,0,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
9a0b1c2d-3e4f-5a6b-7c8d-9e0f1a2b3c4d,PVC-BLK-06-520-01,PVC,Film,0.6,520,100,BLK,Black,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
8f9a0b1c-2d3e-4f5a-6b7c-8d9e0f1a2b3c,PVC-BLK-08-520-01,PVC,Film,0.8,520,100,BLK,Black,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
7e8f9a0b-1c2d-3e4f-5a6b-7c8d9e0f1a2b,PVC-BLK-10-520-01,PVC,Film,1.0,520,100,BLK,Black,,,,,,,,0,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
d253998e-76fd-45f1-aa89-fa0b5bed019b,PVC-RED-08-520-01,PVC,Film,0.8,520,100,RED,Red,帯電防止,シリコン付,SI|EL,シリコン付・帯電防止,シリコン付・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
19f0fd6a-88a9-4ece-8fad-3c248c46bcad,PVC-RED-06-640-02,PVC,Film,0.6,640,100,RED,Red,シールド,シリコン付,SI|EL,シリコン付・シールド,シリコン付・シールド,,,21,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
1d05e7a7-1b4e-4256-ba2a-d279d0d3f25e,PVC-RED-09-520-01,PVC,Film,0.9,520,100,RED,Red,帯電防止,シリコン付,SI|EL,シリコン付・帯電防止,シリコン付・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
315b4874-5cfd-4bed-9439-33daf5e3ad6b,PVC-WHT-10-440-01,PVC,Film,1.0,440,200,WHT,White,帯電防止,シリコン付,SI|EL,シリコン付・帯電防止,シリコン付・帯電防止,,,1,1,ok,,1,YSD,2026-04-10 10:24:15,2026-04-10 10:24:15
230093b0-5b2c-4d73-8f1c-0e423468cf6a,PVC-WHT-10-520-03,PVC,Film,1.0,520,200,WHT,White,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,三菱樹脂,2026-04-10 10:24:15,2026-04-10 10:24:15
4ece7b84-c5ab-4f5b-8153-7db9708e3105,PVC-CLR-06-405-02,PVC,Film,0.6,405,100,CLR,Transparent,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,東レ,2026-04-10 10:24:15,2026-04-10 10:24:15
c14f6965-2389-4f7f-8ec5-54adb2508fcf,PVC-WHT-08-405-03,PVC,Film,0.8,405,100,WHT,White,帯電防止,シリコン無,SI|EL,シリコン無・帯電防止,シリコン無・帯電防止,,,1,1,ok,,1,三菱樹脂,2026-04-10 10:24:15,2026-04-10 10:24:15
