id,file_date,tray_code,material,sheet_qty,case_qty,source_file
TRIN-287CD791,2026-04-01,JAE-034,PS0.6,0,0,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-0957D3C0,2026-04-01,JAE-172,PET0.6,5600,20,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-2CFD40E1,2026-04-01,JAE-035,PS0.6,22800,60,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-F6762E90,2026-04-01,JAE-004,PET0.7,1000,4,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-F4F6BB60,2026-04-01,JAE-054,PS0.6,0,0,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-B3B228E8,2026-04-01,JAE-005,PET0.7,6000,24,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-718F7C52,2026-04-01,JAE-006,PET0.7,0,0,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-F45801DF,2026-04-01,JAE-136,PS0.7,0,0,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-3AF1BEB0,2026-04-01,JAE-070,PET0.7,320,1,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-A54C4579,2026-04-01,JAE-137,PS0.7,0,0,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-C009D278,2026-04-01,JAE-083,PET0.7,600,3,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-B732420D,2026-04-01,JAE-143,PS0.7,3400,10,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-4887DC9D,2026-04-01,JAE-112,PET0.7,960,3,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-F0594576,2026-04-01,JAE-144,PS0.7,2560,8,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-789BBD03,2026-04-01,JAE-110,PET1.0,10440,58,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-89002BBB,2026-04-01,JAE-146,PS0.6,0,0,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-416BFBEE,2026-04-01,JAE-265,PS0.7,0,0,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-C5D84FD6,2026-04-01,JAE-036,PS0.7,0,0,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-6B40AAAF,2026-04-01,JAE-337,PS0.4,2700,9,材料在庫表(青森工場)2026.4.10.xlsx
TRIN-B139625A,2024-10-01,JAE-034,PS0.6,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-0994AAB3,2024-10-01,JAE-172,PET0.6,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-4D21E5DF,2024-10-01,JAE-035,PS0.6,27360,72,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-6A90F174,2024-10-01,JAE-004,PET0.7,6500,26,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-2467F882,2024-10-01,JAE-054,PS0.6,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-9777DA36,2024-10-01,JAE-005,PET0.7,7500,30,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-A338D47B,2024-10-01,JAE-006,PET0.7,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-DEB8941C,2024-10-01,JAE-136,PS0.7,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-9814DF93,2024-10-01,JAE-045,PET0.7,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-E85461DB,2024-10-01,JAE-137,PS0.7,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-2DBD8305,2024-10-01,JAE-047,PET0.7,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-502F304F,2024-10-01,JAE-143,PS0.7,5440,16,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-91471ECB,2024-10-01,JAE-070,PET0.7,640,2,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-72CFFE86,2024-10-01,JAE-144,PS0.7,960,3,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-443125B1,2024-10-01,JAE-083,PET0.7,2400,12,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-52D55A61,2024-10-01,JAE-146,PS0.6,1200,4,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-092BACB1,2024-10-01,JAE-112,PET0.7,640,2,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-B410CFB5,2024-10-01,JAE-036,PS0.7,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-2C80F018,2024-10-01,JAE-110,PET1.0,0,0,材料在庫表(青森工場)2024.10.01.xlsx
TRIN-F0982DCF,2024-10-01,JAE-034,PS0.6,0,0,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-01739EA5,2024-10-01,JAE-172,PET0.6,4760,17,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-2ADD22A3,2024-10-01,JAE-035,PS0.6,22800,60,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-990CC976,2024-10-01,JAE-004,PET0.7,5500,22,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-D8B253DE,2024-10-01,JAE-054,PS0.6,720,2,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-B5B48235,2024-10-01,JAE-005,PET0.7,6500,26,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-74BCD7A4,2024-10-01,JAE-006,PET0.7,0,0,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-B5E013DE,2024-10-01,JAE-136,PS0.7,0,0,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-A9EAD3A4,2024-10-01,JAE-045,PET0.7,0,0,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-10B31464,2024-10-01,JAE-137,PS0.7,0,0,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-92B99853,2024-10-01,JAE-047,PET0.7,0,0,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-B31A6E05,2024-10-01,JAE-143,PS0.7,4760,14,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-53907942,2024-10-01,JAE-070,PET0.7,320,1,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-C7661317,2024-10-01,JAE-144,PS0.7,2560,8,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-C9B9D251,2024-10-01,JAE-083,PET0.7,2400,12,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-EA900A70,2024-10-01,JAE-146,PS0.6,1200,4,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-321CC2CC,2024-10-01,JAE-112,PET0.7,640,2,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-16781185,2024-10-01,JAE-036,PS0.7,0,0,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-12FE73F0,2024-10-01,JAE-110,PET1.0,0,0,材料在庫表(青森工場)2024.10.02.xlsx
TRIN-FD0817D0,2024-10-01,JAE-034,PS0.6,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-1BB03315,2024-10-01,JAE-172,PET0.6,2520,9,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-16C37EEE,2024-10-01,JAE-035,PS0.6,18240,48,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-F7868E86,2024-10-01,JAE-004,PET0.7,3500,14,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-CD095E7C,2024-10-01,JAE-054,PS0.6,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-41916059,2024-10-01,JAE-005,PET0.7,5000,20,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-530E2B90,2024-10-01,JAE-006,PET0.7,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-FF7A3A5B,2024-10-01,JAE-136,PS0.7,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-8006A162,2024-10-01,JAE-045,PET0.7,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-8FD5D7A1,2024-10-01,JAE-137,PS0.7,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-F5BF89FD,2024-10-01,JAE-047,PET0.7,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-2180DEC6,2024-10-01,JAE-143,PS0.7,4760,14,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-9A609ED5,2024-10-01,JAE-070,PET0.7,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-14937F56,2024-10-01,JAE-144,PS0.7,2560,8,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-86286E18,2024-10-01,JAE-083,PET0.7,2400,12,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-060360C2,2024-10-01,JAE-146,PS0.6,1200,4,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-40D1047E,2024-10-01,JAE-112,PET0.7,640,2,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-39DAC43E,2024-10-01,JAE-036,PS0.7,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-9DB00FD7,2024-10-01,JAE-110,PET1.0,0,0,材料在庫表(青森工場)2024.10.03.xlsx
TRIN-4538653A,2024-10-01,JAE-034,PS0.6,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-B4415565,2024-10-01,JAE-172,PET0.6,1120,4,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-88CF3290,2024-10-01,JAE-035,PS0.6,9120,24,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-01E224D3,2024-10-01,JAE-004,PET0.7,3500,14,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-D3EF5F88,2024-10-01,JAE-054,PS0.6,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-594AB6DF,2024-10-01,JAE-005,PET0.7,5000,20,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-59C81D35,2024-10-01,JAE-006,PET0.7,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-BA9051E3,2024-10-01,JAE-136,PS0.7,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-BA30908D,2024-10-01,JAE-045,PET0.7,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-7537F67A,2024-10-01,JAE-137,PS0.7,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-3BA643BC,2024-10-01,JAE-047,PET0.7,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-C258025F,2024-10-01,JAE-143,PS0.7,4080,12,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-866D5209,2024-10-01,JAE-070,PET0.7,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-FD380259,2024-10-01,JAE-144,PS0.7,2560,8,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-737F8A23,2024-10-01,JAE-083,PET0.7,2400,12,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-4C50988A,2024-10-01,JAE-146,PS0.6,1200,4,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-F8769476,2024-10-01,JAE-112,PET0.7,640,2,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-E4D940CB,2024-10-01,JAE-036,PS0.7,0,0,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-845A33D5,2024-10-01,JAE-110,PET1.0,6480,36,材料在庫表(青森工場)2024.10.04.xlsx
TRIN-19AAFBD6,2024-10-01,JAE-034,PS0.6,0,0,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-3F477A4E,2024-10-01,JAE-172,PET0.6,5880,21,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-1DB06EF9,2024-10-01,JAE-035,PS0.6,0,0,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-B2A7FF00,2024-10-01,JAE-004,PET0.7,2500,10,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-3F7D09EB,2024-10-01,JAE-054,PS0.6,0,0,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-64C315BD,2024-10-01,JAE-005,PET0.7,4000,16,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-6C340CFE,2024-10-01,JAE-006,PET0.7,0,0,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-D51E9996,2024-10-01,JAE-136,PS0.7,0,0,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-CFCB709D,2024-10-01,JAE-045,PET0.7,0,0,材料在庫表(青森工場)2024.10.07.xlsx
TRIN-433D6D45,2024-10-01,JAE-137,PS0.7,0,0,材料在庫表(青森工場)2024.10.07.xlsx
