ShipID,MoldID,CutterID,FromCompanyID,ToCompanyID,FromCompany,ToCompany,ShipDate,EmployeeID,ShipNotes,DateEntry
275,12,,2,3,YSD,SAKATA,2025-12-04,1,7.0.8 1826,2025-12-04T09:26:19.990Z
,10,,2,3,YSD,SAKATA,2025-12-04,1,r7.0.8 1748,2025-12-04T08:48:56.761Z
4,,,2,8,2,ベトナム,9/30/2024,,760x320x200 5.4kg,
11,1169,,2,7,,,9/30/2024,,,
12,2895,,2,3,,,10/1/2024,,坂田さん,
13,4223,,2,3,,,10/1/2024,,坂田さん,
14,2221,,2,5,,青森工場へ20240802,8/2/2024,,,
28,3063,,2,9,,MZT,8/19/2024,,桜井さん,8/17/2024
29,102,,2,1726,,株式会社　藤岡エンジニアリング,8/21/2024,,"管理課　購買・管理係
 　 　平方　義之　様

  〒719-3143
 　 岡山県真庭市下市瀬1100
　　TEL：0867-52-7105",8/21/2024
30,2989,,2,5,,,8/23/2024,,,8/23/2024
31,2990,,2,5,,,8/23/2024,,,8/23/2024
32,3078,,2,7,,,8/23/2024,,,8/23/2024
33,1917,,2,1,,,,,2024,8/27/2024
34,4223,,2,3,,,8/27/2024,,坂田さん,8/27/2024
35,3078,,2,3,,坂田精文堂,8/28/2024,,テフロン加工済,8/28/2024
36,4226,,3,2,坂田精文堂,YSD,8/28/2024,,写真撮影ため,8/28/2024
37,4239,,2,1726,,,7/22/2024,,,9/4/2024
38,1093,,2,1726,,,9/9/2024,,坂田さん,9/9/2024
39,2698,,2,1726,,,9/9/2024,,彫刻改造有,9/9/2024
40,1985,,7,2,,YSD,10/3/2024,,テフロン加工受取,
41,3072,,4,2,,YSD,10/7/2024,,弊社に返却して改造する,
42,4373,,4,2,,,10/7/2024,,"R無しの方は廃棄していいかTEに確認しますので、
それまでは保管しておいてください。",
43,4428,,2,7,,,10/3/2024,,テフロン加工へ,
44,4218,,2,9,,,9/17/2024,,強力テフロン加工へ,
45,4218,,9,3,,,9/25/2024,,テフロン加工済,
46,,,2,5,,,9/11/2024,,,
47,,,2,9,,,9/2/2024,,"材料：透明　PET(CL)1.00mm SCSV-APET
　　　 青 PET(青)1.00mm 405巾",
48,3060,,2,1726,,,7/3/2024,,,
49,2393,,2,1726,,,6/25/2024,,,
50,3049,,2,1,,,6/25/2024,,再作成した金型のみ,
51,4538,,2,1,,,6/5/2024,,外形調整した金型,
52,4428,,7,2,,,10/8/2024,,テフロン加工済　トアン,
53,4648,,10,10,,,10/7/2024,,廃棄箱に入れた。　トアン,
54,3072,,2,4,,,10/9/2024,,改造完了-->成形,
56,1565,,2,401,,,10/17/2024,,"共同紙業 早川様より金型返却の連絡が来ました。
該当金型は KDS-069 です。",
58,444,,2,305,,,10/16/2024,,返却のため,10/16/2024
59,433,,2,305,,,10/16/2024,,返却,
60,1769,,2,2,,2F・谷口さん,10/19/2024,,成形為２Fに移動・361から2F,
61,276,,2,3,,,10/21/2024,,成形のため,
62,3058,,3,2,,232,10/25/2024,,写真撮影ため,
63,4223,,3,2,,,10/25/2024,,写真撮影ため,
64,273,,2,3,,,10/29/2024,,金型確認（坂田さん）,
65,4223,,2,3,,,10/29/2024,,成形,
66,2820,,2,7,,,10/30/2024,,VIET,
67,2820,,7,2,,,11/5/2024,,VIET,
74,4675,,2,7,,,11/8/2024,,テフロン加工依頼（谷口さん）,11/8/2024
75,4672,,2,7,,,11/8/2024,,テフロン加工依頼（谷口さん）,11/8/2024
76,4677,,2,7,,,11/8/2024,,テフロン加工依頼（谷口さん）,
77,4678,,2,1,,,11/18/2024,,"先ほど話したように月曜日の茨城工場向けのトラックにDIC-149/DIC-150の金型関係と材料を載せます。
斉藤君に下記材料を出してもらうようにお願いしてください。

RP東プラ　PS黒1.0㎜導電練り込み　640㎜幅×200m；1本",
78,4680,,2,1,,,11/18/2024,,"先ほど話したように月曜日の茨城工場向けのトラックにDIC-149/DIC-150の金型関係と材料を載せます。
斉藤君に下記材料を出してもらうようにお願いしてください。

RP東プラ　PS黒1.0㎜導電練り込み　640㎜幅×200m；1本",
79,1132,,7,2,,,11/22/2024,,テフロン加工完了,
80,3472,,2,1,,,11/27/2024,,抜型と,
81,4723,,2,1,,,11/27/2024,,,
82,4705,,2,1,,,11/27/2024,,,
83,4727,,2,7,,,11/27/2024,,,
84,4625,,7,2,,,12/3/2024,,,
85,1128,,7,2,,,12/3/2024,,,
86,1129,,7,2,,,12/3/2024,,,
87,,,2,4,,,12/4/2024,,小比類巻さん,
88,4626,,2,7,,,12/16/2024,,,
89,2026,,2,1726,,,12/18/2024,,茨城工場へ[セット],
91,301,,2,5,,,12/23/2024,,,
92,323,,2,5,,,12/23/2024,,,
93,2988,,2,5,,,12/23/2024,,,
94,297,,2,5,,,12/23/2024,,,
95,2989,,2,5,,,12/23/2024,,,
96,2990,,2,5,,,12/23/2024,,,
97,299,,2,5,,,12/23/2024,,,
98,,,2,5,,,12/23/2024,,,
99,,,2,5,,,12/23/2024,,,
100,5097,,2,4,,,12/23/2024,,,
101,,,2,1,,,12/23/2024,,,
102,5096,,2,4,,,12/20/2024,,,
103,4626,,2,7,,,12/20/2024,,,
104,5099,,2,4,,,12/25/2024,,,
105,5103,,2,4,,,1/6/2025,,,
106,2593,,2,7,,,1/7/2025,,,
107,5102,,2,4,,,1/7/2025,,,
108,,,2,1,,,1/7/2025,,,
109,1040,,2,1377,,,1/9/2025,,,
111,2593,,2,7,,,1/10/2025,,teflon,1/10/2025
112,2026,,2,1,,,1/15/2025,,,
113,4764,,7,2,,,1/15/2025,,,
114,4226,,2,3,,,1/20/2025,,成形,1/20/2025
115,5110,,2,5,,,1/20/2025,,,1/20/2025
116,5090,,2,7,,,1/21/2025,,,1/21/2025
117,5090,,7,2,,,,,,1/24/2025
118,903,,2,1726,,,1/30/2025,,返却,1/30/2025
119,823,,2,1726,,,1/30/2025,,返却,
120,4427,,2,1,,,9/20/2023,,成形の為,
121,4426,,2,1,,,9/20/2023,,成形の為,
122,3063,,2,9,,,2/6/2025,,,2/6/2025
