StatusLogID,MoldID,CutterID,ItemType,Status,Timestamp,EmployeeID,DestinationID,Notes,AuditDate,AuditType,SessionID,SessionName,SessionMode
SL1768290386775,1240,,mold,AUDIT,2026-01-13T07:46:26.670Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290383128,1241,,mold,AUDIT,2026-01-13T07:46:22.803Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290376769,1247,,mold,AUDIT,2026-01-13T07:46:16.434Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290358137,1248,,mold,AUDIT,2026-01-13T07:45:57.771Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290344608,1249,,mold,AUDIT,2026-01-13T07:45:44.344Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290302626,1251,,mold,AUDIT,2026-01-13T07:45:02.294Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290297212,1252,,mold,AUDIT,2026-01-13T07:44:56.959Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290292818,1253,,mold,AUDIT,2026-01-13T07:44:52.724Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290289252,1254,,mold,AUDIT,2026-01-13T07:44:48.991Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290280327,1255,,mold,AUDIT,2026-01-13T07:44:39.840Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290219896,1257,,mold,AUDIT,2026-01-13T07:43:39.583Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290214667,1258,,mold,AUDIT,2026-01-13T07:43:34.276Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290207474,1264,,mold,AUDIT,2026-01-13T07:43:27.156Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290189978,1265,,mold,AUDIT,2026-01-13T07:43:09.693Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290180592,1263,,mold,AUDIT,2026-01-13T07:43:00.182Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290174062,1262,,mold,AUDIT,2026-01-13T07:42:53.750Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290163811,1261,,mold,AUDIT,2026-01-13T07:42:43.499Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290157024,1260,,mold,AUDIT,2026-01-13T07:42:36.714Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290146789,1259,,mold,AUDIT,2026-01-13T07:42:26.395Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290140764,2089,,mold,AUDIT,2026-01-13T07:42:20.394Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
SL1768290133865,1271,,mold,AUDIT,2026-01-13T07:42:13.757Z,1,,棚卸 | Kiểm kê,2026-01-13,AUDIT_ONLY,,,
