StatusLogID,LegacyStatusLogID,MoldID,CutterID,ItemType,Status,Timestamp,EmployeeID,DestinationID,Notes,AuditDate,AuditType,SessionID,SessionName,SessionMode,WebUUID,UpdatedAt,UpdatedBy
WEB_SL_1773377961991_i4whhvq39,,5740,,,IN,2026-03-13T04:59:22.681Z,1,707,位置変更： 233 -> 707,,,,,,,2026-03-13T13:59:22.142Z,1
WEB_SL_1773374023046_dvwfgzues,,5740,,,IN,2026-03-13T03:53:43.675Z,1,232,位置変更： 233 -> 232,,,,,,,2026-03-13T12:53:43.194Z,1
WEB_SL_1773371534823_cami6pc51,,5740,,,IN,2026-03-13T03:12:15.470Z,1,707,Đổi vị trí từ 23-3 (金型部門・ミガキ部署) sang 70-7 (その他 / 金型部門),,,,,,,2026-03-13T12:12:14.981Z,1
WEB_SL_1773370430681_4vi5yib1t,,5740,,,IN,2026-03-13T02:53:51.276Z,1,AREA-MOLDROOM,,,,,,,,2026-03-13T11:53:50.886Z,1
WEB_SL_1773370371669_5fne93tir,,5740,,,IN,2026-03-13T02:52:52.043Z,1,707,,,,,,,,2026-03-13T11:52:52.336Z,1
WEB_SL_1773357320614_n31myvpbn,,5740,,,IN,2026-03-12T23:14:58.637Z,1,11,23-3,,,,,,,2026-03-13T08:15:21.205Z,1
WEB_SL_1773124552121_kdp8vsgps,,5543,,,IN,2026-03-10T06:35:27.950Z,1,AREA-MOLDROOM,,,,,,,,2026-03-10T15:35:57.337Z,1
WEB_SL_1773040352636_zacy9qbfx,,5734,,,OUT,2026-03-09T07:12:01.944Z,1,19,テフロン加工へ,,,,,,,2026-03-09T16:12:33.260Z,1
WEB_SL_1772879011872_608bqxd36,,5740,,,IN,2026-03-07T10:23:02.297Z,3,AREA-MOLDROOM,,,,,,,,2026-03-07T19:23:32.444Z,3
WEB_SL_1772850955957_n6bdji0dw,,5740,,,OUT,2026-03-07T02:35:34.845Z,1,AREA-MOLDROOM,,,,,,,,2026-03-07T11:35:56.623Z,1
WEB_SL_1772839678243_jq0zsajix,,5740,,,IN,2026-03-06T23:27:58.097Z,1,AREA-MOLDROOM,,,,,,,,2026-03-07T08:27:58.889Z,1
WEB_SL_1772755125453_3h187grmk,,5642,,,IN,2026-03-05T23:58:45.599Z,1,AREA-MOLDROOM,8-3,,,,,,,2026-03-06T08:58:45.635Z,1
WEB_SL_1772755066288_vzc2vtaog,,5641,,,IN,2026-03-05T23:57:46.450Z,1,AREA-MOLDROOM,8-3,,,,,,,2026-03-06T08:57:46.470Z,1
WEB_SL_1772755028772_t2wfe76su,,5642,,,IN,2026-03-05T23:56:47.551Z,1,AREA-MOLDROOM,12-1,,,,,,,2026-03-06T08:57:09.456Z,1
WEB_SL_1772706235505_j7qdo9nlb,,5740,,,OUT,2026-03-05T10:23:33.887Z,1,1,,,,,,,,2026-03-05T19:23:56.254Z,1
WEB_SL_1772699285290_g3bxqnc7j,,5740,,mold,IN,2026-03-05T08:28:04.939Z,1,AREA-MOLDROOM,,,,,,,,2026-03-05T17:28:05.950Z,1
