RelationName,PrimaryTable,PrimaryColumn,ForeignTable,ForeignColumn
destinationsstatuslogs,destinations,DestinationID,statuslogs,DestinationID
DinhHinhTblDinhHinhKetQuaTbl,tblForming,FormingID,tblFormedTray,FormingID
MayTblSeikeiTbl,tblMachine,IDMay,tblForming,MachineID
NhanVienTblSeikeiTbl,tblEmployee,EmployeeID,tblForming,EmployeeID
NhuaDinhHinhTblDinhHinhTbl,tblPLASTICforForming,PlasticForFormingID,tblForming,IDNhuaDinhHinh
rel_tblCompany_tblProductionPlanStep,tblCompany,CompanyID,tblProductionPlanStep,CompanyID
rel_tblCustomer_tblCutterMaster,tblCustomer,CustomerID,tblCutterMaster,CustomerID
rel_tblCustomer_tblDesignMaster,tblCustomer,CustomerID,tblDesignMaster,CustomerID
rel_tblCustomer_tblMoldMaster,tblCustomer,CustomerID,tblMoldMaster,CustomerID
rel_tblCustomer_tblOrderHead,tblCustomer,CustomerID,tblOrderHead,CustomerID
rel_tblCutter_tblProductionPlanStep,tblCutter,CutterID,tblProductionPlanStep,CutterID
rel_tblCutterMaster_tblCutter,tblCutterMaster,CutterMasterID,tblCutter,CutterMasterID
rel_tblDesignMaster_tblCutterMaster,tblDesignMaster,DesignMasterID,tblCutterMaster,DesignMasterID
rel_tblDesignMaster_tblMoldDesign,tblDesignMaster,DesignMasterID,tblMoldDesign,DesignMasterID
rel_tblDesignMaster_tblMoldMaster,tblDesignMaster,DesignMasterID,tblMoldMaster,DesignMasterID
rel_tblEmployee_tblProductionLog,tblEmployee,EmployeeID,tblProductionLog,EmployeeID
rel_tblEmployee_tblProductionPlanStep,tblEmployee,EmployeeID,tblProductionPlanStep,EmployeeID
rel_tblMold_tblProductionPlanStep,tblMold,MoldID,tblProductionPlanStep,MoldID
rel_tblMoldDesign_tblMoldRevision,tblMoldDesign,MoldDesignID,tblMoldRevision,MoldDesignID
rel_tblMoldDesign_tblOrderLine,tblMoldDesign,MoldDesignID,tblOrderLine,MoldDesignID
rel_tblMoldMaster_tblMoldRevision,tblMoldMaster,MoldMasterID,tblMoldRevision,MoldMasterID
rel_tblMoldRevision_tblMold,tblMoldRevision,MoldRevisionID,tblMold,MoldRevisionID
rel_tblOrderHead_tblOrderLine,tblOrderHead,OrderHeadID,tblOrderLine,OrderHeadID
rel_tblOrderLine_tblProductionPlan,tblOrderLine,OrderLineID,tblProductionPlan,OrderLineID
rel_tblProductionPlan_tblProductionPlanStep,tblProductionPlan,ProductionPlanID,tblProductionPlanStep,ProductionPlanID
rel_tblProductionPlanStep_tblForming,tblProductionPlanStep,PlanStepID,tblForming,PlanStepID
rel_tblProductionPlanStep_tblProductionLog,tblProductionPlanStep,PlanStepID,tblProductionLog,PlanStepID
rel_tblProductionPlanStep_tblProductionResult,tblProductionPlanStep,PlanStepID,tblProductionResult,PlanStepID
rel_tblTray_tblCutterMaster,tblTray,TrayID,tblCutterMaster,TrayID
rel_tblTray_tblDesignMaster,tblTray,TrayID,tblDesignMaster,TrayID
rel_tblTray_tblMoldMaster,tblTray,TrayID,tblMoldMaster,TrayID
rel_tblTray_tblOrderLine,tblTray,TrayID,tblOrderLine,TrayID
rel_tblTrayOrder_tblOrderLine,tblTrayOrder,TrayOrderID,tblOrderLine,TrayOrderID
