TableName,RecordIDField,RecordID,FieldName,NewValue,ChangedAt,ChangedBy
molds,MoldID,96,MoldWeight,8.95,2026-06-25T06:36:31.601Z,9
molds,MoldID,177,MoldWeightModified,16.1,2026-04-12T23:41:01.234Z,9
molds,MoldID,230,MoldWeight,5.4,2026-06-02T00:46:30.657Z,9
molds,MoldID,1094,MoldWeightModified,6.95,2026-04-10T04:24:01.133Z,9
molds,MoldID,1102,MoldWeightModified,1.2,2026-04-10T04:19:35.657Z,9
molds,MoldID,1121,MoldWeightModified,12.35,2026-04-12T23:52:54.360Z,9
molds,MoldID,1267,RackLayerID,293,2026-06-12T14:26:23.054Z,9
molds,MoldID,1586,RackLayerID,700,2026-06-09T15:57:50.872Z,9
molds,MoldID,1586,MoldWeight,4.05,2026-06-09T06:56:14.600Z,9
molds,MoldID,1828,MoldWeight,14.7,2026-05-29T00:17:42.096Z,9
molds,MoldID,1850,MoldWeight,6.85,2026-05-22T07:13:12.226Z,9
molds,MoldID,2199,MoldWeightModified,3.15,2026-04-10T04:22:25.987Z,9
molds,MoldID,2408,KeeperCompany,6,2026-04-15,9
molds,MoldID,2408,MoldWeightModified,2.45,2026-04-14T05:43:29.203Z,9
molds,MoldID,2685,RackLayerID,265,2026-07-08T09:48:10.026Z,9
molds,MoldID,3034,MoldDisposing,FALSE,2026-05-22T04:55:41.040Z,
molds,MoldID,3034,MoldReturning,FALSE,2026-05-22T04:55:41.040Z,
molds,MoldID,3034,MoldNotes,廃棄予定,2026-05-22T04:55:41.040Z,
molds,MoldID,3034,RackLayerID,222,2026-05-22T13:53:57.488Z,9
molds,MoldID,3034,KeeperCompany,2,2026-05-22,9
molds,MoldID,3034,MoldWeight,6.75,2026-05-22T04:02:06.196Z,9
molds,MoldID,3311,RackLayerID,613,2026-06-13T14:35:18.509Z,9
molds,MoldID,3825,KeeperCompany,6,2026-04-15,9
molds,MoldID,3825,MoldWeightModified,3.05,2026-04-14T05:08:09.408Z,9
molds,MoldID,4419,RackLayerID,241,2026-06-24T10:37:25.173Z,9
molds,MoldID,4679,RackLayerID,112,2026-06-13T14:09:57.579Z,9
molds,MoldID,4998,MoldWeight,5.4,2026-05-22T07:44:04.129Z,9
molds,MoldID,5224,KeeperCompany,10,2026-07-30,9
molds,MoldID,5339,KeeperCompany,3,2026-04-17,9
molds,MoldID,5340,KeeperCompany,3,2026-04-17,9
molds,MoldID,5423,RackLayerID,132,2026-08-20T10:55:10.526Z,9
molds,MoldID,5428,RackLayerID,223,2026-04-20T10:31:24.625Z,9
molds,MoldID,5428,MoldDisposing,FALSE,2026-04-20T01:26:41.848Z,
molds,MoldID,5428,MoldReturning,FALSE,2026-04-20T01:26:41.848Z,
molds,MoldID,5428,MoldUsageStatus,試作のみで量産はありません,2026-04-20T01:26:41.848Z,
molds,MoldID,5428,MoldNotes,試作のみで量産はありませんので、金型は棚に戻す。,2026-04-20T01:26:41.848Z,
molds,MoldID,5429,MoldDisposing,FALSE,2026-04-20T01:30:41.800Z,
molds,MoldID,5429,MoldReturning,FALSE,2026-04-20T01:30:41.800Z,
molds,MoldID,5429,MoldNotes,試作のみで量産はありません,2026-04-20T01:30:41.800Z,
molds,MoldID,5431,MoldWeightModified,9,2026-04-12T23:51:08.852Z,9
molds,MoldID,5539,MoldWeightModified,5.9,2026-04-08T05:36:07.450Z,9
molds,MoldID,5551,RackLayerID,63,2026-06-09T17:24:58.242Z,8
molds,MoldID,5552,RackLayerID,63,2026-06-09T17:25:15.339Z,8
molds,MoldID,5557,MoldWeightModified,3.6,2026-04-10T04:21:03.821Z,9
molds,MoldID,5613,RackLayerID,85,2026-07-28T10:56:01.281Z,9
molds,MoldID,5624,RackLayerID,233,2026-04-13T08:49:32.721Z,9
molds,MoldID,5624,MoldWeightModified,5.35,2026-04-12T23:48:19.614Z,9
molds,MoldID,5637,MoldWeightModified,26.5,2026-04-12T23:44:38.531Z,9
molds,MoldID,5646,KeeperCompany,2,2026-06-18,9
molds,MoldID,5646,RackLayerID,95,2026-06-18T10:57:29.597Z,9
molds,MoldID,5647,KeeperCompany,2,2026-06-18,9
molds,MoldID,5647,RackLayerID,94,2026-06-18T10:56:54.635Z,9
molds,MoldID,5651,MoldWeightModified,5.3,2026-04-12T23:42:17.689Z,9
molds,MoldID,5673,RackLayerID,65,2026-04-22T10:39:36.236Z,9
molds,MoldID,5683,KeeperCompany,2,2026-04-15,9
molds,MoldID,5683,RackLayerID,65,2026-04-15T13:14:24.886Z,9
molds,MoldID,5683,MoldWeightModified,3.7,2026-04-10T04:27:01.489Z,9
molds,MoldID,5734,KeeperCompany,1540,2026-04-09,9
molds,MoldID,5734,MoldWeightModified,3.1,2026-04-09T02:17:31.614Z,9
molds,MoldID,5737,RackLayerID,121,2026-04-27T15:29:31.454Z,9
molds,MoldID,5737,MoldWeightModified,7.45,2026-04-27T06:25:23.096Z,9
molds,MoldID,5738,KeeperCompany,1540,2026-04-09,9
molds,MoldID,5738,MoldWeightModified,2.65,2026-04-09T02:19:33.664Z,9
molds,MoldID,5739,RackLayerID,121,2026-04-27T15:30:00.436Z,9
molds,MoldID,5747,RackLayerID,63,2026-06-03T16:44:41.049Z,9
molds,MoldID,5747,MoldWeight,6.55,2026-06-03T07:41:50.603Z,9
molds,MoldID,5754,KeeperCompany,7,2026-05-25,1
molds,MoldID,5754,MoldWeightModified,3.1,2026-04-12T23:32:19.594Z,9
molds,MoldID,5758,MoldWeightModified,2.95,2026-04-12T23:30:41.253Z,9
molds,MoldID,5765,RackLayerID,660,2026-04-09T11:51:53.246Z,9
molds,MoldID,5765,MoldWeightModified,2.9,2026-04-09T02:07:06.547Z,9
molds,MoldID,5769,MoldWeightModified,3.05,2026-04-12T23:29:46.915Z,9
molds,MoldID,5769,RackLayerID,233,2026-04-09T15:44:18.878Z,8
molds,MoldID,5770,MoldWeightModified,4.4,2026-04-17T08:51:13.407Z,9
molds,MoldID,5770,KeeperCompany,1,2026-04-08T09:54:38.329Z,9
molds,MoldID,5771,MoldWeightModified,18.3,2026-04-20T01:18:17.946Z,9
molds,MoldID,5771,RackLayerID,720,2026-04-17T11:12:11.676Z,9
molds,MoldID,5771,KeeperCompany,2,2026-04-17,9
molds,MoldID,5774,MoldWeightModified,5.8,2026-04-17T08:50:58.423Z,9
molds,MoldID,5774,KeeperCompany,1,2026-04-08T09:55:39.121Z,9
molds,MoldID,5775,MoldUsageStatus,DISPOSED,2026-04-09T18:43:55.677Z,9
molds,MoldID,5776,MoldWeightModified,7.15,2026-04-07T05:32:19.334Z,9
molds,MoldID,5781,KeeperCompany,1540,2026-05-13,9
molds,MoldID,5781,MoldWeightModified,5.1,2026-04-12T23:58:08.366Z,9
molds,MoldID,5786,MoldWeightModified,3.3,2026-04-26T23:24:58.826Z,9
molds,MoldID,5787,MoldWeight,5.15,2026-05-27T05:27:09.219Z,9
molds,MoldID,5787,RackLayerID,175,2026-05-27T12:53:43.044Z,8
molds,MoldID,5787,MoldWeightModified,5.05,2026-04-26T23:32:43.573Z,9
molds,MoldID,5788,MoldWeight,5.05,2026-05-27T05:28:27.415Z,9
