TableName,RecordIDField,RecordID,FieldName,NewValue,ChangedAt,ChangedBy
shiplog,ShipID,WEB_SHIP_1785367064079_7rwhr1uj7,ShipID,WEB_SHIP_1785367064079_7rwhr1uj7,2026-07-30,9
shiplog,ShipID,WEB_SHIP_1781747866970_ih7bydzgt,ShipID,WEB_SHIP_1781747866970_ih7bydzgt,2026-06-18,9
shiplog,ShipID,WEB_SHIP_1781747855379_83a1zmjag,ShipID,WEB_SHIP_1781747855379_83a1zmjag,2026-06-18,9
shiplog,ShipID,WEB_SHIP_1779854424634_6gy23f5q5,ShipID,WEB_SHIP_1779854424634_6gy23f5q5,2026-05-27,1
shiplog,ShipID,WEB_SHIP_1779854419737_qohmt0ayr,ShipID,WEB_SHIP_1779854419737_qohmt0ayr,2026-05-27,1
shiplog,ShipID,WEB_SHIP_1779700785466_quz8yutz3,ShipID,WEB_SHIP_1779700785466_quz8yutz3,2026-05-25,9
shiplog,ShipID,WEB_SHIP_1779698231177_487x96t3r,ShipID,WEB_SHIP_1779698231177_487x96t3r,2026-05-22,9
shiplog,ShipID,WEB_SHIP_1779696242729_duup90o88,ShipID,WEB_SHIP_1779696242729_duup90o88,2026-05-22,9
shiplog,ShipID,WEB_SHIP_1779674308629_k14zwnntf,ShipID,WEB_SHIP_1779674308629_k14zwnntf,2026-05-25,1
shiplog,ShipID,WEB_SHIP_1779674305932_sejv3wh4w,ShipID,WEB_SHIP_1779674305932_sejv3wh4w,2026-05-25,1
shiplog,ShipID,WEB_SHIP_1779443780806_lxh7d98fb,ShipID,WEB_SHIP_1779443780806_lxh7d98fb,2026-05-22,9
shiplog,ShipID,WEB_SHIP_1779443744511_vsdgu2x5o,ShipID,WEB_SHIP_1779443744511_vsdgu2x5o,2026-05-22,9
shiplog,ShipID,WEB_SHIP_1779422587597_iy9d34xwb,ShipID,WEB_SHIP_1779422587597_iy9d34xwb,2026-05-22,9
shiplog,ShipID,WEB_SHIP_1779268859881_348u6o8sc,ShipID,WEB_SHIP_1779268859881_348u6o8sc,2026-05-20,1
shiplog,ShipID,WEB_SHIP_1779254511902_z1e1biqif,ShipID,WEB_SHIP_1779254511902_z1e1biqif,2026-05-20,9
shiplog,ShipID,WEB_SHIP_1779188494967_5bnau36im,ShipID,WEB_SHIP_1779188494967_5bnau36im,2026-05-19,9
shiplog,ShipID,WEB_SHIP_1779186867173_wpggmcp9c,ShipID,WEB_SHIP_1779186867173_wpggmcp9c,2026-05-19,9
shiplog,ShipID,WEB_SHIP_1779186307665_jrgdy53lf,ShipID,WEB_SHIP_1779186307665_jrgdy53lf,2026-05-19,9
shiplog,ShipID,WEB_SHIP_1778852049145_q798hb8z6,ShipStatus,DELETED,2026-05-15T22:30:59.058Z,9
shiplog,ShipID,WEB_SHIP_1778852049145_q798hb8z6,ShipID,WEB_SHIP_1778852049145_q798hb8z6,2026-05-15,9
shiplog,ShipID,WEB_SHIP_1778851828057_igxdby69y,ShipStatus,DELETED,2026-05-15T22:30:54.338Z,9
