TableName,RecordIDField,RecordID,FieldName,NewValue,ChangedAt,ChangedBy
teflonlog,TeflonLogID,301,TeflonStatus,DELETED,2026-04-24T07:36:34.900Z,9
teflonlog,TeflonLogID,3741,DirectEdit,Requested,2026-04-24T07:06:20.720Z,9
teflonlog,TeflonLogID,3741,TeflonStatus,Approved,2026-04-24T00:49:45.212Z,9
teflonlog,TeflonLogID,4438,TeflonStatus,DELETED,2026-04-20T01:23:27.408Z,9
teflonlog,TeflonLogID,4439,TeflonStatus,DELETED,2026-04-20T01:30:26.287Z,9
teflonlog,TeflonLogID,4573,TeflonStatus,DELETED,2026-04-22T07:04:22.722Z,9
teflonlog,TeflonLogID,4634,TeflonStatus,DELETED,2026-04-09T05:21:20.973Z,9
teflonlog,TeflonLogID,4636,TeflonStatus,DELETED,2026-04-08T23:32:37.151Z,9
teflonlog,TeflonLogID,4646,TeflonStatus,DELETED,2026-04-26T12:57:25.349Z,9
teflonlog,TeflonLogID,4657,TeflonStatus,Completed,2026-04-27T07:19:01.192Z,9
teflonlog,TeflonLogID,4657,DirectEdit,Sent,2026-04-27T05:04:31.170Z,9
teflonlog,TeflonLogID,4664,TeflonStatus,DELETED,2026-05-14T03:12:58.262Z,1
teflonlog,TeflonLogID,4665,TeflonStatus,DELETED,2026-05-14T03:13:09.659Z,1
teflonlog,TeflonLogID,TL637083,TeflonStatus,Requested,2026-07-07T23:57:17.083Z,8
teflonlog,TeflonLogID,TL128021,TeflonStatus,Requested,2026-05-27T04:28:48.021Z,8
teflonlog,TeflonLogID,TL402974,DirectEdit,Completed,2026-05-27T04:14:46.878Z,1
teflonlog,TeflonLogID,TL402974,TeflonStatus,Completed,2026-05-27T04:00:22.622Z,1
teflonlog,TeflonLogID,TL598605,DirectEdit,Requested,2026-05-27T00:51:58.890Z,1
teflonlog,TeflonLogID,TL598605,TeflonStatus,Requested,2026-05-20T00:06:38.605Z,3
teflonlog,TeflonLogID,TL215778,TeflonStatus,Completed,2026-05-25T01:58:25.292Z,1
teflonlog,TeflonLogID,TL472839,TeflonStatus,Requested,2026-05-22T07:54:32.839Z,12
teflonlog,TeflonLogID,TL322953,TeflonStatus,Requested,2026-05-22T07:35:22.953Z,1
teflonlog,TeflonLogID,TL852320,TeflonStatus,Approved,2026-05-20T09:20:54.096Z,1
teflonlog,TeflonLogID,TL428079,TeflonStatus,Requested,2026-05-20T08:57:08.080Z,1
teflonlog,TeflonLogID,TL183817,TeflonStatus,Completed,2026-05-20T03:28:20.037Z,9
teflonlog,TeflonLogID,TL750287,TeflonStatus,Requested,2026-05-18T01:45:50.287Z,8
teflonlog,TeflonLogID,TL584337,TeflonStatus,Requested,2026-04-24T08:16:24.337Z,8
teflonlog,TeflonLogID,TL_TEST_999,TeflonStatus,DELETED,2026-04-24T07:36:42.876Z,9
teflonlog,TeflonLogID,TL868458,TeflonStatus,DELETED,2026-04-24T04:31:31.410Z,9
teflonlog,TeflonLogID,TL868458,DirectEdit,Approved,2026-04-24T04:30:00.315Z,9
teflonlog,TeflonLogID,TL447762,TeflonStatus,Sent,2026-04-22T07:21:50.258Z,9
teflonlog,TeflonLogID,TL021415,TeflonStatus,DELETED,2026-04-22T07:05:07.682Z,9
teflonlog,TeflonLogID,TL329707,TeflonStatus,Approved,2026-04-22T07:03:26.875Z,9
teflonlog,TeflonLogID,TL298471,TeflonStatus,Sent,2026-04-10T04:28:37.754Z,9
teflonlog,TeflonLogID,TL969737,TeflonStatus,Completed,2026-04-09T02:07:16.076Z,9
