DataChangeID,TableName,RecordID,RecordIDField,FieldName,OldValue,NewValue,ChangedAt,ChangedBy,BaseValueAtEdit,BaseCommitID,BaseCommitAt,ChangeSource,ChangeNote,IsConflict,ResolvedValue,ResolvedAt,ResolvedBy
DCH1779674289301jca4s,teflonlog,TL215778,TeflonLogID,TeflonStatus,Requested,Approved,2026-05-25T01:58:09.301Z,1,,,,teflon_wizard,Wizard Update,FALSE,,,
DCH1779443785138_yn9qyjxrl,shiplog.csv,WEB_SHIP_1779443780806_lxh7d98fb,ShipID,ShipID,,WEB_SHIP_1779443780806_lxh7d98fb,2026-05-22,9,,,,api/add-shiplog,New shipment,FALSE,,,
DCH1779443783118_lyomh2nww,Cutters,3113,CutterID,KeeperCompany,,1,2026-05-22,9,,,,api/add-shiplog,金型・プラグ・抜型,FALSE,,,
DCH1779443749586_jqevd73f9,shiplog.csv,WEB_SHIP_1779443744511_vsdgu2x5o,ShipID,ShipID,,WEB_SHIP_1779443744511_vsdgu2x5o,2026-05-22,9,,,,api/add-shiplog,New shipment,FALSE,,,
DCH1779443747779_rj5a4mjar,Molds,5813,MoldID,KeeperCompany,,1,2026-05-22,9,,,,api/add-shiplog,金型・プラグ・抜型,FALSE,,,
DCH1779436472839rysy4,teflonlog,TL472839,TeflonLogID,TeflonStatus,,Requested,2026-05-22T07:54:32.839Z,12,,,,teflon_wizard,Wizard Update,FALSE,,,
DCH17794358473896kta9,molds,4998,MoldID,MoldWeight,,5.4,2026-05-22T07:44:04.129Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1779435322953kksmt,teflonlog,TL322953,TeflonLogID,TeflonStatus,,Requested,2026-05-22T07:35:22.953Z,1,,,,teflon_wizard,Wizard Update,FALSE,,,
DCH1779433996396u9lel,molds,1850,MoldID,MoldWeight,,6.85,2026-05-22T07:13:12.226Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1779430897669q0p13,molds,5815,MoldID,MoldWeight,,14.3,2026-05-22T06:21:34.747Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH17794257446187ZIH,molds,3034,MoldID,MoldDisposing,,FALSE,2026-05-22T04:55:41.040Z,,,,,extended_editor,batch=ACM1779425741040HCFY; op=update,FALSE,,,
DCH17794257446187FSZ,molds,3034,MoldID,MoldReturning,,FALSE,2026-05-22T04:55:41.040Z,,,,,extended_editor,batch=ACM1779425741040HCFY; op=update,FALSE,,,
DCH1779425744618K43R,molds,3034,MoldID,MoldNotes,坂田精文堂・図面確認依頼 | [旧RackLayer 703] 坂田精文堂,廃棄予定,2026-05-22T04:55:41.040Z,,坂田精文堂・図面確認依頼 | [旧RackLayer 703] 坂田精文堂,,,extended_editor,batch=ACM1779425741040HCFY; op=update,FALSE,,,
DCH1779425637488_1c9nfp8ks,molds,3034,MoldID,RackLayerID,,222,2026-05-22T13:53:57.488Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1779425632153_ickclhczj,FALSE,,,
DCH1779422620789_5dgnwhb8t,molds,3034,MoldID,RackLayerID,,700,2026-05-22T13:03:40.789Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1779422615878_yul2ackew,FALSE,,,
DCH1779422594121_ulxxecvnq,statuslogs.csv,WEB_SL_1779422592870_8911x545z,StatusLogID,Status,,IN,2026-05-22,9,,,,api/add-shiplog,Auto-generated status,FALSE,,,
DCH1779422592071_nuftlx8jq,shiplog.csv,WEB_SHIP_1779422587597_iy9d34xwb,ShipID,ShipID,,WEB_SHIP_1779422587597_iy9d34xwb,2026-05-22,9,,,,api/add-shiplog,New shipment,FALSE,,,
DCH1779422590014_65khrbvg4,Molds,3034,MoldID,KeeperCompany,3,2,2026-05-22,9,,,,api/add-shiplog,,FALSE,,,
DCH17794225299462vp2f,molds,3034,MoldID,MoldWeight,,6.75,2026-05-22T04:02:06.196Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1779407254416z10v2,molds,5813,MoldID,MoldWeight,,13.2,2026-05-21T23:47:30.951Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1779407012456atym1,molds,5810,MoldID,MoldWeight,,9.3,2026-05-21T23:43:28.236Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1779406869236gnpwr,molds,5812,MoldID,MoldWeight,,9.8,2026-05-21T23:41:04.512Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
