inventory_snapshot_id,snapshot_no,snapshot_date,warehouse_area,status,note,created_by,created_at,updated_at
55b1feda-4c33-4c61-a6c6-f11d4edcae08,SNAP-20260319,2026-03-19,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫(26-3-19)指示書連動.xlsx,ETL User,2026-03-19,2026-03-19
18950295-2d7f-4a83-aa52-cca9c6a7fc38,SNAP-20260320,2026-03-20,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫(26-3-20)指示書連動.xlsx,ETL User,2026-03-20,2026-03-20
73d08127-452c-4e13-9015-7366b8df0511,SNAP-20260323,2026-03-23,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫表(青森工場)2026.3.23.xlsx,ETL User,2026-03-23,2026-03-23
c6a67035-9246-4f5b-9822-736552000a84,SNAP-20260323,2026-03-23,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫(26-3-23)指示書連動.xlsx,ETL User,2026-03-23,2026-03-23
adf58e5c-ccd7-4bce-9ef6-dd00a147eba8,SNAP-20260324,2026-03-24,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫表(青森工場)2026.3.24.xlsx,ETL User,2026-03-24,2026-03-24
901a2ef2-1f1e-4161-a6a0-33497e42dc32,SNAP-20260325,2026-03-25,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫表(青森工場)2026.3.25.xlsx,ETL User,2026-03-25,2026-03-25
2e4d8a91-cc21-4a35-9ace-92d28ccd38aa,SNAP-20260326,2026-03-26,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫(26-3-26)指示書連動.xlsx,ETL User,2026-03-26,2026-03-26
cd656fd6-141f-4ca0-9936-af2ef4f64f15,SNAP-20260326,2026-03-26,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫表(青森工場)2026.3.26.xlsx,ETL User,2026-03-26,2026-03-26
9fcda26c-c4c4-450d-a2c4-be043225f1e7,SNAP-20260327,2026-03-27,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫(26-3-27)指示書連動.xlsx,ETL User,2026-03-27,2026-03-27
b6a21549-cd6a-4afe-a02b-e95dd758d45b,SNAP-20260327,2026-03-27,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫表(青森工場)2026.3.27.xlsx,ETL User,2026-03-27,2026-03-27
d37c519a-90b7-47fc-96dd-c763c730b08c,SNAP-20260330,2026-03-30,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫(26-3-30)指示書連動.xlsx,ETL User,2026-03-30,2026-03-30
b729acb2-3395-45f3-9a49-fe23b06cd057,SNAP-20260330,2026-03-30,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫表(青森工場)2026.3.30.xlsx,ETL User,2026-03-30,2026-03-30
0409a7c1-e481-4d13-a7c3-ca1394c8bdb7,SNAP-20260331,2026-03-31,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫(26-3-31)指示書連動.xlsx,ETL User,2026-03-31,2026-03-31
cf2b9e99-1eb4-4704-9a37-627fcb313ada,SNAP-20260331,2026-03-31,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫表(青森工場)2026.3.31.xlsx,ETL User,2026-03-31,2026-03-31
934f2c7d-25cc-48a5-80af-b66e781f92b3,SNAP-20260401,2026-04-01,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫(26-4-1)指示書連動.xlsx,ETL User,2026-04-01,2026-04-01
2336e1a2-8e73-407d-b3f5-5b36509c8248,SNAP-20260401,2026-04-01,ALL,completed,Hệ thống tự động Snapshot từ Excel 材料在庫表(青森工場)2026.4.1.xlsx,ETL User,2026-04-01,2026-04-01
