plastic_id,plastic_code,plastic_family,plastic_subtype,thickness_mm,width_mm,standard_length_m,color_code_raw,color_name_normalized,electrical_property,silicone_status_normalized,additive_flags,additive_text_raw,appearance_text_raw,an_code_raw,an_meaning_normalized,si_code_raw,ab_code_raw,status_review,remarks_raw,is_active,created_by,created_at,updated_at
de9dffdc-e5ea-467d-a64c-16bc0ebcbf72,PLA-5A5D0EE9,PS,,0.3,520.0,600.0,N,natural,conductive,,,,,AN,,,,approved,PS(N)0.30x520x600 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
4305b466-3b03-46bb-ad58-ee0166ac7247,PLA-9C8DD259,PS,,0.48,420.0,400.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.48x420x400,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
0dd44816-f369-4302-94aa-b707d9490db1,PLA-1855EDA8,PET,,0.38,520.0,450.0,CL,clear,conductive,,,,,AN,,,,approved,PET(CL)0.38x520x450 AN(AB材),1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
d253998e-76fd-45f1-aa89-fa0b5bed019b,PLA-715E1C4C,PS,PST,0.8,520.0,250.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PST(N)0.80x520x250 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
74a4b46b-abbe-4410-86ed-8afd3c4afa63,PLA-BC1C69DB,PS,,0.38,405.0,500.0,N,natural,conductive,,,,,,,,,approved,PS(N)0.38x405x500AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
c7ad73a2-9337-4478-9f65-90bc590f65a2,PLA-768584FC,PS,,0.48,550.0,400.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.48x550x400,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
fb85db7a-e4aa-4d3a-9f00-8f20fe5cf199,PLA-5CFC83D5,PET,,0.38,520.0,450.0,CL,clear,conductive,unknown,,,,,,SI,,approved,PET(CL)0.38x520x450 SI,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
475a938a-23d5-4da2-853e-fe3ea47f6d3b,PLA-601CD626,PS,PST,0.8,670.0,200.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PST(N)0.80x670x200 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
8c87f8a9-e9d5-4bad-95ff-bbf8f907e056,PLA-8141BA3D,PS,,0.38,520.0,500.0,N,natural,conductive,,,,,AN,,,,approved,PS(N)0.38x520x500 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
857aa17c-051a-47bd-b4d6-deb688b5e5f4,PLA-660DAF0A,PS,,0.58,420.0,350.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.58x420x350,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
f6a8c42c-1036-4026-8642-cbfafb187159,PLA-8AA543C5,PET,,0.48,520.0,350.0,CL,clear,conductive,,,,,,,,,approved,PET(CL)0.48x520x350AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
1d05e7a7-1b4e-4256-ba2a-d279d0d3f25e,PLA-F3E99861,PS,PST,0.9,520.0,200.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PST(N)0.90x520x200 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
e6823834-668a-42df-bf17-41330a53488e,PLA-588BA4DA,PS,,0.48,405.0,400.0,N,natural,conductive,,,,,AN,,,,approved,PS(N)0.48x405x400 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
1e4e36e2-02a3-4310-b89f-584801b99c42,PLA-4C3582C8,PS,,0.58,485.0,350.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.58x485x350,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
80eee832-9e64-4e64-8bb2-7c791c55933a,PLA-5264A992,PET,,0.58,520.0,300.0,CL,clear,conductive,,,,,AN,,,,approved,PET(CL)0.58x520x300 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
ed756d32-b6d8-412d-a64f-28f4474cb062,PLA-D1458DC5,PS,PST,0.88,585.0,200.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PST(N)0.88x585x200 AN SI 0m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
d4676442-1da6-402b-9915-6f582c9d2a87,PLA-46B1F2EC,PS,PST,0.98,520.0,200.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PST(N)0.98x520x200 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
91698caa-2517-4292-8d7b-db1a0ad1fffb,PLA-761F7A08,PS,,0.48,405.0,400.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PS(N)0.48x405x400 AN SI,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
6545fc23-4a8f-451f-b479-0b3c53a0630b,PLA-D2CD2202,PS,,0.68,640.0,200.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.68x640x200(マルアイ),1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
