StatusLogID,MoldID,CutterID,ItemType,Status,Timestamp,EmployeeID,DestinationID,Notes,AuditDate,AuditType,SessionID,SessionName,SessionMode,AuditSessionID,UpdatedAt,UpdatedBy
WEB_SL_1778363276714_feov2q6o0,5791,,,AUDIT,2026-05-09T21:48:02.167Z,,,AR Locator Auto-Check,,,,,,,2026-05-10T06:47:56.954Z,
WEB_SL_1778303561808_2yj0pdkzu,5781,,,AUDIT,2026-05-09T05:12:41.028Z,,,AR Locator Auto-Check,,,,,,,2026-05-09T14:12:42.039Z,
WEB_SL_1778293597787_6oac4j5zy,5796,,,AUDIT,2026-05-09T02:26:37.091Z,,,AR Locator Auto-Check,,,,,,,2026-05-09T11:26:37.998Z,
WEB_SL_1778281555062_s4kksjxnj,,3105,,IN,2026-05-08T23:05:54.636Z,1,AREA-MOLDROOM,,,,,,,,2026-05-09T08:05:55.323Z,1
,3192,,,,,1,13,台車,,,,,,,,
,5604,,,,,4,9,Viet,,,,,,,,
,3331,,,,,1,13,,,,,,,,,
,5640,,,,,3,11,HAI,,,,,,,,
,5415,,,,,1,10,,,,,,,,,
,5644,,,,,3,6,,,,,,,,,
,5550,,,,,1,10,ラベル付き写真撮影,,,,,,,,
,5415,,,,,1,10,坂田精文堂から,,,,,,,,
,5415,,,,,1,25,71,,,,,,,,
,5604,,,,,1,25,51,,,,,,,,
,5650,,,,,4,7,11/11,,,,,,,,
,5650,,,,,4,11,11/12,,,,,,,,
,5646,,,,,1,10,11/12,,,,,,,,
,3331,,,,,3,4,,,,,,,,,
,3020,,,,11/20/2025,1,13,坂田さん,,,,,,,,
,5632,,,,11/21/2025,1,19,,,,,,,,,
,5633,,,,11/21/2025,1,19,,,,,,,,,
,5663,,,,11/26/2025,1,9,新規成形,,,,,,,,
,5632,,,,11/26/2025,1,17,テフロン加工済,,,,,,,,
,5633,,,,11/26/2025,1,17,テフロン加工済,,,,,,,,
,5636,,,,11/26/2025,2,8,,,,,,,,,
,5639,,,,11/26/2025,2,8,,,,,,,,,
,1844,,,,11/27/2025,1,10,Khach xem khuon,,,,,,,,
,1740,,,,12/1/2025,1,15,,,,,,,,,
,1736,,,,12/1/2025,1,15,,,,,,,,,
,1741,,,,12/1/2025,1,15,,,,,,,,,
,1752,,,,12/1/2025,1,15,,,,,,,,,
,1734,,,,12/1/2025,1,15,,,,,,,,,
,1743,,,,12/1/2025,1,15,,,,,,,,,
,1742,,,,12/1/2025,1,15,,,,,,,,,
,1745,,,,12/1/2025,1,15,,,,,,,,,
,1739,,,,12/1/2025,1,15,,,,,,,,,
,1737,,,,12/1/2025,1,15,,,,,,,,,
,4785,,,,12/1/2025,1,15,,,,,,,,,
,4784,,,,12/1/2025,1,15,,,,,,,,,
,1744,,,,12/1/2025,1,15,,,,,,,,,
,3936,,,,12/1/2025,1,15,,,,,,,,,
,3937,,,,12/1/2025,1,15,,,,,,,,,
,1735,,,,12/1/2025,1,15,,,,,,,,,
,1738,,,,12/1/2025,1,15,,,,,,,,,
,824,,,,12/1/2025,1,15,,,,,,,,,
,5663,,,,12/4/2025,1,10,,,,,,,,,
,5644,,,,12/4/2025,3,6,改造後の成形,,,,,,,,
,5566,,,,12/5/2025,1,9,,,,,,,,,
,3246,,,,12/9/2025,1,25,棚卸,,,,,,,,
,462,,,,12/9/2025,1,25,棚卸,,,,,,,,
,264,,,IN,12/10/2025,1,,棚卸,,,,,,,,
,256,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,255,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,2874,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,262,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,5339,,,OUT,12/10/2025,1,10,,12/10/2025,Check-out,,,,,,
,474,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,452,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,457,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,507,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,4432,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
,5673,,,OUT,12/10/2025,1,11,,,,,,,,,
,5671,,,OUT,12/10/2025,1,11,,,,,,,,,
,5667,,,IN,12/12/2025,1,,確認済,12/12/2025,Audit,,,,,,
,3160,,,IN,12/15/2025,1,7,確認済,12/15/2025,Audit,,,,,,
,5573,,,IN,12/15/2025,1,,確認済,12/15/2025,Audit,,,,,,
,5612,,,IN,12/15/2025,1,,確認済,12/15/2025,Audit,,,,,,
,1740,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1736,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1741,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1752,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1734,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1743,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1742,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1745,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1739,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1737,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,4785,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,4784,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1744,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,3936,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,3937,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1735,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1738,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,824,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,5686,,,IN,12/16/2025,1,,確認済,12/16/2025,Audit,,,,,,
,1906,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,1916,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
,5686,,,IN,12/16/2025,1,,確認済,12/16/2025,Audit,,,,,,
,5690,,,IN,12/17/2025,4,7,確認済,12/17/2025,Audit,,,,,,
,5686,,,IN,12/17/2025,4,7,確認済,12/17/2025,Audit,,,,,,
,5683,,,IN,12/17/2025,3,6,確認済,12/17/2025,Audit,,,,,,
,5671,,,IN,12/17/2025,1,,確認済,12/17/2025,Check-in,,,,,,
,1234,,mold,IN,12/17/2025,1,,Test ghi du lieu,,,,,,,,
,5673,,mold,IN,12/17/2025,1,,テフロン加工後受取,,,,,,,,
,2027,,,IN,12/18/2025,1,,確認済,12/18/2025,Audit,,,,,,
,5663,,,IN,12/19/2025,1,9,確認済,12/19/2025,Audit,,,,,,
,5420,,mold,IN,12/19/2025,1,,テフロン加工後受取,,,,,,,,
,5689,,,IN,12/22/2025,3,,確認済,12/22/2025,Audit,,,,,,
,5694,,,IN,12/25/2025,3,6,確認済,12/25/2025,Audit,,,,,,
,5528,,,IN,12/25/2025,1,10,確認済,12/25/2025,Audit,,,,,,
,704,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
,2042,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
,1122,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
,454,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
,453,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
,5687,,,IN,12/26/2025,3,,確認済,12/26/2025,Audit,,,,,,
,5689,,,IN,12/26/2025,1,,確認済,12/26/2025,Audit,,,,,,
,5340,,,IN,12/27/2025,1,,確認済,12/27/2025,Audit,,,,,,
,5339,,,IN,12/27/2025,1,,確認済,12/27/2025,Check-in,,,,,,
,811,,,IN,1/5/2026,1,,確認済,1/5/2026,Audit,,,,,,
,877,,,IN,1/5/2026,1,,確認済,1/5/2026,Audit,,,,,,
,880,,,IN,1/5/2026,1,,確認済,1/5/2026,Audit,,,,,,
,4950,,,DISPOSED,1/5/2026,1,,廃棄済,,,,,,,,
,5363,,,IN,1/6/2026,4,,確認済,1/6/2026,Audit,,,,,,
,4667,,,OUT,1/6/2026,1,13,改造③,1/6/2026,Check-out,,,,,,
,5696,,,IN,1/6/2026,4,7,確認済,1/6/2026,Audit,,,,,,
,2930,,,RETURNED,1/6/2026,1,,返却済,1/6/2026,RETURNED,,,,,,
,933,,,RETURNED,1/6/2026,1,,返却済,1/6/2026,RETURNED,,,,,,
,943,,,RETURNED,1/6/2026,1,,返却済,1/6/2026,RETURNED,,,,,,
,5697,,,IN,1/6/2026,3,,確認済,1/6/2026,Audit,,,,,,
,5632,,,OUT,1/8/2026,1,9,,1/8/2026,Check-out,,,,,,
,5633,,,OUT,1/8/2026,1,9,確認済,1/8/2026,Audit,,,,,,
,5690,,,IN,1/8/2026,1,,確認済,1/8/2026,Audit,,,,,,
,5543,,,IN,1/8/2026,1,,確認済,1/8/2026,Audit,,,,,,
,4667,,,IN,1/8/2026,1,,改造③完了,1/8/2026,Check-in,,,,,,
,5698,,mold,OUT,1/8/2026,1,1,発送,1/8/2026,Check-out,,,,,,
,5699,,,IN,1/8/2026,1,,確認済,1/8/2026,Audit,,,,,,
,3006,,,IN,1/13/2026,3,,確認済,1/13/2026,Audit,,,,,,
,5698,,mold,OUT,1/13/2026,1,1,引取,1/13/2026,Check-out,,,,,,
,5695,,,IN,1/14/2026,1,,確認済,1/14/2026,Audit,,,,,,
,5341,,,IN,1/14/2026,1,5,確認済,1/14/2026,Audit,,,,,,
,5706,,,IN,1/14/2026,1,,確認済,1/14/2026,Audit,,,,,,
,5706,,mold,OUT,1/14/2026,1,1,発送,1/14/2026,Check-out,,,,,,
,5702,,mold,OUT,1/14/2026,1,1,発送,1/14/2026,Check-out,,,,,,
,775,,mold,OUT,1/14/2026,1,1,発送 | 返却,1/14/2026,Check-out,,,,,,
,538,,,IN,1/17/2026,3,,確認済,1/17/2026,Audit,,,,,,
,5705,,mold,OUT,1/17/2026,1,1,発送,1/17/2026,Check-out,,,,,,
,5687,,,OUT,1/22/2026,1,19,,,,,,,,,
,954,,,IN,1/22/2026,1,,確認済,1/22/2026,Audit,,,,,,
,5710,,,IN,1/23/2026,1,10,確認済,1/23/2026,Audit,,,,,,
,5710,,mold,IN,1/23/2026,1,1,坂田精文堂から | 写真,1/23/2026,Check-out,,,,,,
